ifim_site_name,ifim_da_sqmi,metric,flow,pctchg
Above Harvell Dam,1342,smb_juv,MAF,-3.524449938
Above Harvell Dam,1342,smb_adult,MAF,-0.088137689
Above Harvell Dam,1342,smb_spawn,MAF,18.12265328
Above Harvell Dam,1342,rbs_spawn,MAF,11.97597672
Above Harvell Dam,1342,nh_adult,MAF,-17.96533448
Above Harvell Dam,1342,nh_spawn,MAF,-16.36624245
Above Harvell Dam,1342,bd_high_grad,MAF,3.829415935
Above Harvell Dam,1342,bd_low_grad,MAF,5.854011007
Above Harvell Dam,1342,shallow_slow,MAF,12.58419207
Above Harvell Dam,1342,shallow_fast,MAF,-6.745447085
Above Harvell Dam,1342,deep_slow,MAF,-2.457502438
Above Harvell Dam,1342,deep_fast,MAF,-8.719647829
Above Harvell Dam,1342,as_spawn,MAF,-44.57886742
Above Harvell Dam,1342,as_juv,MAF,-1.401009575
Above Harvell Dam,1342,l_rad,MAF,-25.03470786
Above Harvell Dam,1342,e_comp,MAF,-19.17533909
Above Harvell Dam,1342,rh_spawn,MAF,-1.386774299
Above Harvell Dam,1342,smb_juv,Jan,-1.590220582
Above Harvell Dam,1342,smb_adult,Jan,2.772583008
Above Harvell Dam,1342,smb_spawn,Jan,31.50331982
Above Harvell Dam,1342,rbs_spawn,Jan,21.24029688
Above Harvell Dam,1342,nh_adult,Jan,-18.60372419
Above Harvell Dam,1342,nh_spawn,Jan,-19.80887485
Above Harvell Dam,1342,bd_high_grad,Jan,32.34948671
Above Harvell Dam,1342,bd_low_grad,Jan,22.7609951
Above Harvell Dam,1342,shallow_slow,Jan,46.25074443
Above Harvell Dam,1342,shallow_fast,Jan,10.20150122
Above Harvell Dam,1342,deep_slow,Jan,-0.212456454
Above Harvell Dam,1342,deep_fast,Jan,-1.318988705
Above Harvell Dam,1342,as_spawn,Jan,-29.99033184
Above Harvell Dam,1342,as_juv,Jan,-0.193724124
Above Harvell Dam,1342,l_rad,Jan,-23.70169008
Above Harvell Dam,1342,e_comp,Jan,-13.49745659
Above Harvell Dam,1342,rh_spawn,Jan,-0.215668003
Above Harvell Dam,1342,smb_juv,Feb,-1.208330107
Above Harvell Dam,1342,smb_adult,Feb,3.259255539
Above Harvell Dam,1342,smb_spawn,Feb,32.73676131
Above Harvell Dam,1342,rbs_spawn,Feb,22.41627753
Above Harvell Dam,1342,nh_adult,Feb,-18.56958743
Above Harvell Dam,1342,nh_spawn,Feb,-20.29773879
Above Harvell Dam,1342,bd_high_grad,Feb,33.56240239
Above Harvell Dam,1342,bd_low_grad,Feb,26.08746298
Above Harvell Dam,1342,shallow_slow,Feb,55.14238557
Above Harvell Dam,1342,shallow_fast,Feb,13.02232354
Above Harvell Dam,1342,deep_slow,Feb,0.333038681
Above Harvell Dam,1342,deep_fast,Feb,-0.461954759
Above Harvell Dam,1342,as_spawn,Feb,-29.13713447
Above Harvell Dam,1342,as_juv,Feb,-0.001299053
Above Harvell Dam,1342,l_rad,Feb,-23.40661377
Above Harvell Dam,1342,e_comp,Feb,-12.39344744
Above Harvell Dam,1342,rh_spawn,Feb,-0.018543028
Above Harvell Dam,1342,smb_juv,Mar,-0.862534115
Above Harvell Dam,1342,smb_adult,Mar,3.572136601
Above Harvell Dam,1342,smb_spawn,Mar,32.84356734
Above Harvell Dam,1342,rbs_spawn,Mar,22.75381616
Above Harvell Dam,1342,nh_adult,Mar,-18.30644674
Above Harvell Dam,1342,nh_spawn,Mar,-20.52142741
Above Harvell Dam,1342,bd_high_grad,Mar,33.79841475
Above Harvell Dam,1342,bd_low_grad,Mar,27.27684741
Above Harvell Dam,1342,shallow_slow,Mar,56.88192208
Above Harvell Dam,1342,shallow_fast,Mar,17.29992727
Above Harvell Dam,1342,deep_slow,Mar,0.848519806
Above Harvell Dam,1342,deep_fast,Mar,0.337360248
Above Harvell Dam,1342,as_spawn,Mar,-28.58631583
Above Harvell Dam,1342,as_juv,Mar,0.177729165
Above Harvell Dam,1342,l_rad,Mar,-23.15771255
Above Harvell Dam,1342,e_comp,Mar,-11.56724898
Above Harvell Dam,1342,rh_spawn,Mar,0.179751496
Above Harvell Dam,1342,smb_juv,Apr,-0.406804596
Above Harvell Dam,1342,smb_adult,Apr,3.99069667
Above Harvell Dam,1342,smb_spawn,Apr,32.91859019
Above Harvell Dam,1342,rbs_spawn,Apr,23.2335541
Above Harvell Dam,1342,nh_adult,Apr,-18.0359255
Above Harvell Dam,1342,nh_spawn,Apr,-21.13268889
Above Harvell Dam,1342,bd_high_grad,Apr,34.80348817
Above Harvell Dam,1342,bd_low_grad,Apr,28.99976875
Above Harvell Dam,1342,shallow_slow,Apr,58.20292533
Above Harvell Dam,1342,shallow_fast,Apr,23.46532944
Above Harvell Dam,1342,deep_slow,Apr,1.533422061
Above Harvell Dam,1342,deep_fast,Apr,1.401902369
Above Harvell Dam,1342,as_spawn,Apr,-27.94167156
Above Harvell Dam,1342,as_juv,Apr,0.414091724
Above Harvell Dam,1342,l_rad,Apr,-22.80660601
Above Harvell Dam,1342,e_comp,Apr,-10.51683513
Above Harvell Dam,1342,rh_spawn,Apr,0.441540889
Above Harvell Dam,1342,smb_juv,May,-1.900041497
Above Harvell Dam,1342,smb_adult,May,2.314124919
Above Harvell Dam,1342,smb_spawn,May,29.69168797
Above Harvell Dam,1342,rbs_spawn,May,19.99222629
Above Harvell Dam,1342,nh_adult,May,-18.73684899
Above Harvell Dam,1342,nh_spawn,May,-17.77200476
Above Harvell Dam,1342,bd_high_grad,May,23.75840685
Above Harvell Dam,1342,bd_low_grad,May,19.40310414
Above Harvell Dam,1342,shallow_slow,May,37.57519207
Above Harvell Dam,1342,shallow_fast,May,9.773600004
Above Harvell Dam,1342,deep_slow,May,-0.641432476
Above Harvell Dam,1342,deep_fast,May,-2.001073747
Above Harvell Dam,1342,as_spawn,May,-30.88684703
Above Harvell Dam,1342,as_juv,May,-0.346696216
Above Harvell Dam,1342,l_rad,May,-24.67122726
Above Harvell Dam,1342,e_comp,May,-14.52252187
Above Harvell Dam,1342,rh_spawn,May,-0.364152727
Above Harvell Dam,1342,smb_juv,Jun,-3.467392689
Above Harvell Dam,1342,smb_adult,Jun,0.174836311
Above Harvell Dam,1342,smb_spawn,Jun,19.28766325
Above Harvell Dam,1342,rbs_spawn,Jun,13.30505812
Above Harvell Dam,1342,nh_adult,Jun,-18.69770955
Above Harvell Dam,1342,nh_spawn,Jun,-16.48370314
Above Harvell Dam,1342,bd_high_grad,Jun,4.214623603
Above Harvell Dam,1342,bd_low_grad,Jun,7.787343952
Above Harvell Dam,1342,shallow_slow,Jun,14.53175007
Above Harvell Dam,1342,shallow_fast,Jun,-4.346064326
Above Harvell Dam,1342,deep_slow,Jun,-2.384179521
Above Harvell Dam,1342,deep_fast,Jun,-5.953862698
Above Harvell Dam,1342,as_spawn,Jun,-39.36882334
Above Harvell Dam,1342,as_juv,Jun,-1.300935947
Above Harvell Dam,1342,l_rad,Jun,-25.66630252
Above Harvell Dam,1342,e_comp,Jun,-19.04070825
Above Harvell Dam,1342,rh_spawn,Jun,-1.352559098
Above Harvell Dam,1342,smb_juv,Jul,-4.752919115
Above Harvell Dam,1342,smb_adult,Jul,-1.607284026
Above Harvell Dam,1342,smb_spawn,Jul,11.64165078
Above Harvell Dam,1342,rbs_spawn,Jul,5.494595051
Above Harvell Dam,1342,nh_adult,Jul,-17.74644203
Above Harvell Dam,1342,nh_spawn,Jul,-16.07032423
Above Harvell Dam,1342,bd_high_grad,Jul,1.674016504
Above Harvell Dam,1342,bd_low_grad,Jul,4.431421999
Above Harvell Dam,1342,shallow_slow,Jul,8.040394994
Above Harvell Dam,1342,shallow_fast,Jul,-12.03105567
