site	project	huc6 	huc8	glo	ghi	scale_factor
397290	NF_Shenandoah	020700	nhd_huc8_02070006	1	408	2000
397291	NF_Shenandoah	020700	nhd_huc8_02070006	1	408	2000
397292	NF_Shenandoah	020700	nhd_huc8_02070006	1	408	2000
397293	NF_Shenandoah	020700	nhd_huc8_02070006	1	408	2000
397294	NF_Shenandoah	020700	nhd_huc8_02070006	1	408	2000
397299	SF_Shenandoah	020700	nhd_huc8_02070005	1	408	2000
397300	SF_Shenandoah	020700	nhd_huc8_02070005	1	408	2000
397301	SF_Shenandoah	020700	nhd_huc8_02070005	1	408	2000
397302	Upper_James	020802	nhd_huc8_02080201	1	408	2000
397303	Upper_James	020802	nhd_huc8_02080201	1	408	2000
397304	Upper_James	020802	nhd_huc8_02080201	1	408	2000
397305	Upper_James	020802	nhd_huc8_02080201	1	408	2000
397284	New_River_Claytor	050500	nhd_huc8_05050001	1	408	2000
397285	New_River_Claytor	050500	nhd_huc8_05050001	1	408	2000
397282	Appomattox	020802	nhd_huc8_02080207	1	408	2000
397283	Appomattox	020802	nhd_huc8_02080207	1	408	2000
397295	Potomac	020700	nhd_huc8_02070008	1	408	2000
397296	Potomac	020700	nhd_huc8_02070008	1	408	2000
397286	North_Anna	020801	nhd_huc8_02080106	1	408	2000
397287	North_Anna	020801	nhd_huc8_02080106	1	408	2000
397288	North_Anna	020801	nhd_huc8_02080106	1	408	2000
397289	North_Anna	020801	nhd_huc8_02080106	1	408	2000
397297	Roanoke	030101	nhd_huc8_03010102	1	408	2000
397298	Roanoke	030101	nhd_huc8_03010102	1	408	2000
