site	metric	group
Above Harvell Dam	as_juv	constant_high
Above Harvell Dam	bd_high_grad	constant_high
Above Harvell Dam	canoe_mid	constant_high
Above Harvell Dam	canoe_nov	constant_high
Above Harvell Dam	deep_fast	constant_high
Above Harvell Dam	deep_slow	constant_high
Above Harvell Dam	rbs_spawn	constant_high
Above Harvell Dam	rh_spawn	constant_high
Above Harvell Dam	shallow_fast	constant_high
Above Harvell Dam	smb_adult	constant_high
Above Harvell Dam	smb_juv	constant_high
Above Harvell Dam	bd_low_grad	seasonal_summer
Above Harvell Dam	smb_spawn	seasonal_summer
Above Harvell Dam	as_spawn	seasonal_spring
Above Harvell Dam	e_comp	seasonal_spring
Above Harvell Dam	l_rad	seasonal_spring
Above Harvell Dam	nh_adult	seasonal_spring
Above Harvell Dam	nh_spawn	seasonal_spring
Above Harvell Dam	shallow_slow	constant_low
New River- Claytor to Pembroke	bmc_adult	constant_high
New River- Claytor to Pembroke	cc_adult	constant_high
New River- Claytor to Pembroke	cc_juv	constant_high
New River- Claytor to Pembroke	cc_spawn	constant_high
New River- Claytor to Pembroke	eph_mac	constant_high
New River- Claytor to Pembroke	gd_adult	constant_high
New River- Claytor to Pembroke	gd_spawn	constant_high
New River- Claytor to Pembroke	lp_adult	constant_high
New River- Claytor to Pembroke	lp_spawn	constant_high
New River- Claytor to Pembroke	nh_adult	constant_high
New River- Claytor to Pembroke	nh_spawn	constant_high
New River- Claytor to Pembroke	plec_mac	constant_high
New River- Claytor to Pembroke	shallow_fast	constant_high
New River- Claytor to Pembroke	sm_int	constant_high
New River- Claytor to Pembroke	sm_shal_slow	constant_high
New River- Claytor to Pembroke	smb_adult	constant_high
New River- Claytor to Pembroke	tric_mac	constant_high
New River- Claytor to Pembroke	we_spawn	constant_high
New River- Claytor to Pembroke	bmc_spawn	seasonal_summer
New River- Claytor to Pembroke	cs_adult	seasonal_summer
New River- Claytor to Pembroke	cs_spawn	seasonal_summer
New River- Claytor to Pembroke	gd_juv	seasonal_summer
