ifim_site_name,ifim_da_sqmi,metric,flow,pctchg
Above Harvell Dam,1342,smb_juv,MAF,-0.78618952
Above Harvell Dam,1342,smb_adult,MAF,0.030119157
Above Harvell Dam,1342,smb_spawn,MAF,4.045247674
Above Harvell Dam,1342,rbs_spawn,MAF,2.520504732
Above Harvell Dam,1342,nh_adult,MAF,-4.446560089
Above Harvell Dam,1342,nh_spawn,MAF,-4.1831972
Above Harvell Dam,1342,bd_high_grad,MAF,1.061572151
Above Harvell Dam,1342,bd_low_grad,MAF,1.671970214
Above Harvell Dam,1342,shallow_slow,MAF,3.61219498
Above Harvell Dam,1342,shallow_fast,MAF,-0.752109058
Above Harvell Dam,1342,deep_slow,MAF,-0.554180544
Above Harvell Dam,1342,deep_fast,MAF,-1.926160624
Above Harvell Dam,1342,as_spawn,MAF,-11.13496933
Above Harvell Dam,1342,as_juv,MAF,-0.303944442
Above Harvell Dam,1342,l_rad,MAF,-6.314353284
Above Harvell Dam,1342,e_comp,MAF,-4.535368608
Above Harvell Dam,1342,rh_spawn,MAF,-0.296862837
Above Harvell Dam,1342,smb_juv,Jan,-0.21958459
Above Harvell Dam,1342,smb_adult,Jan,0.837308444
Above Harvell Dam,1342,smb_spawn,Jan,6.580465889
Above Harvell Dam,1342,rbs_spawn,Jan,4.753380469
Above Harvell Dam,1342,nh_adult,Jan,-4.511299523
Above Harvell Dam,1342,nh_spawn,Jan,-4.772004242
Above Harvell Dam,1342,bd_high_grad,Jan,6.056954425
Above Harvell Dam,1342,bd_low_grad,Jan,5.675312172
Above Harvell Dam,1342,shallow_slow,Jan,9.724223022
Above Harvell Dam,1342,shallow_fast,Jan,5.053544137
Above Harvell Dam,1342,deep_slow,Jan,0.204718429
Above Harvell Dam,1342,deep_fast,Jan,0.056645208
Above Harvell Dam,1342,as_spawn,Jan,-7.452349472
Above Harvell Dam,1342,as_juv,Jan,0.015260682
Above Harvell Dam,1342,l_rad,Jan,-5.929094084
Above Harvell Dam,1342,e_comp,Jan,-2.784911984
Above Harvell Dam,1342,rh_spawn,Jan,0.036056562
Above Harvell Dam,1342,smb_juv,Feb,-0.125062701
Above Harvell Dam,1342,smb_adult,Feb,0.9084947
Above Harvell Dam,1342,smb_spawn,Feb,6.670792079
Above Harvell Dam,1342,rbs_spawn,Feb,4.889082025
Above Harvell Dam,1342,nh_adult,Feb,-4.466020937
Above Harvell Dam,1342,nh_spawn,Feb,-4.841086117
Above Harvell Dam,1342,bd_high_grad,Feb,6.138067931
Above Harvell Dam,1342,bd_low_grad,Feb,5.832089583
Above Harvell Dam,1342,shallow_slow,Feb,10.12995392
