ifim_site_name,ifim_da_sqmi,metric,flow,pctchg
Above Harvell Dam,1342,smb_juv,MAF,-13.00566545
Above Harvell Dam,1342,smb_adult,MAF,-3.341646558
Above Harvell Dam,1342,smb_spawn,MAF,55.11460615
Above Harvell Dam,1342,rbs_spawn,MAF,29.17880326
Above Harvell Dam,1342,nh_adult,MAF,-46.37709799
Above Harvell Dam,1342,nh_spawn,MAF,-40.42796963
Above Harvell Dam,1342,bd_high_grad,MAF,-6.716445121
Above Harvell Dam,1342,bd_low_grad,MAF,12.67507372
Above Harvell Dam,1342,shallow_slow,MAF,20.87279467
Above Harvell Dam,1342,shallow_fast,MAF,-32.58052619
Above Harvell Dam,1342,deep_slow,MAF,-9.135106068
Above Harvell Dam,1342,deep_fast,MAF,-29.25541498
Above Harvell Dam,1342,as_spawn,MAF,-89.87144673
Above Harvell Dam,1342,as_juv,MAF,-6.413944388
Above Harvell Dam,1342,l_rad,MAF,-60.34904358
Above Harvell Dam,1342,e_comp,MAF,-49.65164264
Above Harvell Dam,1342,rh_spawn,MAF,-4.996769749
Above Harvell Dam,1342,smb_juv,Jan,-7.998009906
Above Harvell Dam,1342,smb_adult,Jan,3.814718607
Above Harvell Dam,1342,smb_spawn,Jan,92.96322893
Above Harvell Dam,1342,rbs_spawn,Jan,59.1929301
Above Harvell Dam,1342,nh_adult,Jan,-47.64629654
Above Harvell Dam,1342,nh_spawn,Jan,-40.49397519
Above Harvell Dam,1342,bd_high_grad,Jan,12.02323582
Above Harvell Dam,1342,bd_low_grad,Jan,46.82683616
Above Harvell Dam,1342,shallow_slow,Jan,64.04463311
Above Harvell Dam,1342,shallow_fast,Jan,4.044214753
Above Harvell Dam,1342,deep_slow,Jan,-4.52908139
Above Harvell Dam,1342,deep_fast,Jan,-12.36362888
Above Harvell Dam,1342,as_spawn,Jan,-75.25356442
Above Harvell Dam,1342,as_juv,Jan,-2.56862186
Above Harvell Dam,1342,l_rad,Jan,-62.1954284
Above Harvell Dam,1342,e_comp,Jan,-44.70585108
Above Harvell Dam,1342,rh_spawn,Jan,-2.58498321
Above Harvell Dam,1342,smb_juv,Feb,-7.421461478
Above Harvell Dam,1342,smb_adult,Feb,4.576703813
Above Harvell Dam,1342,smb_spawn,Feb,98.30809241
Above Harvell Dam,1342,rbs_spawn,Feb,62.33860763
Above Harvell Dam,1342,nh_adult,Feb,-47.60670926
Above Harvell Dam,1342,nh_spawn,Feb,-40.43406025
Above Harvell Dam,1342,bd_high_grad,Feb,32.4674293
Above Harvell Dam,1342,bd_low_grad,Feb,54.55922113
Above Harvell Dam,1342,shallow_slow,Feb,93.82796865
Above Harvell Dam,1342,shallow_fast,Feb,12.97995817
Above Harvell Dam,1342,deep_slow,Feb,-3.738221978
Above Harvell Dam,1342,deep_fast,Feb,-10.36324461
Above Harvell Dam,1342,as_spawn,Feb,-73.27993244
Above Harvell Dam,1342,as_juv,Feb,-2.265005444
Above Harvell Dam,1342,l_rad,Feb,-62.08210946
Above Harvell Dam,1342,e_comp,Feb,-42.93980905
Above Harvell Dam,1342,rh_spawn,Feb,-2.223865016
Above Harvell Dam,1342,smb_juv,Mar,-6.847679436
Above Harvell Dam,1342,smb_adult,Mar,5.173581029
Above Harvell Dam,1342,smb_spawn,Mar,100.3675287
Above Harvell Dam,1342,rbs_spawn,Mar,63.80731477
Above Harvell Dam,1342,nh_adult,Mar,-47.66613757
Above Harvell Dam,1342,nh_spawn,Mar,-40.20123057
Above Harvell Dam,1342,bd_high_grad,Mar,44.59309155
Above Harvell Dam,1342,bd_low_grad,Mar,59.55884934
Above Harvell Dam,1342,shallow_slow,Mar,113.0995754
Above Harvell Dam,1342,shallow_fast,Mar,19.77798018
Above Harvell Dam,1342,deep_slow,Mar,-2.98450592
Above Harvell Dam,1342,deep_fast,Mar,-8.593999493
Above Harvell Dam,1342,as_spawn,Mar,-71.99886401
Above Harvell Dam,1342,as_juv,Mar,-1.951967781
Above Harvell Dam,1342,l_rad,Mar,-61.21865209
Above Harvell Dam,1342,e_comp,Mar,-41.46519296
Above Harvell Dam,1342,rh_spawn,Mar,-1.880832916
Above Harvell Dam,1342,smb_juv,Apr,-6.091483817
Above Harvell Dam,1342,smb_adult,Apr,5.97206006
Above Harvell Dam,1342,smb_spawn,Apr,103.3653552
Above Harvell Dam,1342,rbs_spawn,Apr,65.89476333
Above Harvell Dam,1342,nh_adult,Apr,-47.31788461
Above Harvell Dam,1342,nh_spawn,Apr,-41.03879893
Above Harvell Dam,1342,bd_high_grad,Apr,62.39288181
Above Harvell Dam,1342,bd_low_grad,Apr,66.80122275
Above Harvell Dam,1342,shallow_slow,Apr,142.7575235
Above Harvell Dam,1342,shallow_fast,Apr,29.57611541
Above Harvell Dam,1342,deep_slow,Apr,-1.983069003
Above Harvell Dam,1342,deep_fast,Apr,-6.237686982
Above Harvell Dam,1342,as_spawn,Apr,-70.49958029
Above Harvell Dam,1342,as_juv,Apr,-1.538678839
Above Harvell Dam,1342,l_rad,Apr,-60.34904358
Above Harvell Dam,1342,e_comp,Apr,-39.59039262
Above Harvell Dam,1342,rh_spawn,Apr,-1.427960275
Above Harvell Dam,1342,smb_juv,May,-8.67137933
Above Harvell Dam,1342,smb_adult,May,2.879500109
Above Harvell Dam,1342,smb_spawn,May,88.57639184
Above Harvell Dam,1342,rbs_spawn,May,55.80131511
Above Harvell Dam,1342,nh_adult,May,-47.98970961
Above Harvell Dam,1342,nh_spawn,May,-40.24819321
Above Harvell Dam,1342,bd_high_grad,May,4.553340259
Above Harvell Dam,1342,bd_low_grad,May,39.25315746
Above Harvell Dam,1342,shallow_slow,May,46.34324827
Above Harvell Dam,1342,shallow_fast,May,-3.787340629
Above Harvell Dam,1342,deep_slow,May,-5.359718967
Above Harvell Dam,1342,deep_fast,May,-14.50757819
Above Harvell Dam,1342,as_spawn,May,-76.83842862
Above Harvell Dam,1342,as_juv,May,-2.996961148
Above Harvell Dam,1342,l_rad,May,-63.193299
Above Harvell Dam,1342,e_comp,May,-46.39255793
Above Harvell Dam,1342,rh_spawn,May,-2.963643356
Above Harvell Dam,1342,smb_juv,Jun,-11.83245098
Above Harvell Dam,1342,smb_adult,Jun,-1.638582947
Above Harvell Dam,1342,smb_spawn,Jun,60.42695757
Above Harvell Dam,1342,rbs_spawn,Jun,35.35075612
Above Harvell Dam,1342,nh_adult,Jun,-47.09206809
Above Harvell Dam,1342,nh_spawn,Jun,-40.1047421
Above Harvell Dam,1342,bd_high_grad,Jun,-7.396927488
Above Harvell Dam,1342,bd_low_grad,Jun,14.07758621
Above Harvell Dam,1342,shallow_slow,Jun,22.20798387
Above Harvell Dam,1342,shallow_fast,Jun,-28.15869429
Above Harvell Dam,1342,deep_slow,Jun,-8.477856668
Above Harvell Dam,1342,deep_fast,Jun,-25.49729631
Above Harvell Dam,1342,as_spawn,Jun,-88.07469144
Above Harvell Dam,1342,as_juv,Jun,-5.325153386
Above Harvell Dam,1342,l_rad,Jun,-62.62959885
Above Harvell Dam,1342,e_comp,Jun,-49.85398562
Above Harvell Dam,1342,rh_spawn,Jun,-4.690911278
Above Harvell Dam,1342,smb_juv,Jul,-16.47587744
Above Harvell Dam,1342,smb_adult,Jul,-10.56448592
Above Harvell Dam,1342,smb_spawn,Jul,23.93091149
Above Harvell Dam,1342,rbs_spawn,Jul,4.294059087
Above Harvell Dam,1342,nh_adult,Jul,-44.13507259
Above Harvell Dam,1342,nh_spawn,Jul,-40.64576102
Above Harvell Dam,1342,bd_high_grad,Jul,-8.174114101
Above Harvell Dam,1342,bd_low_grad,Jul,11.74563955
Above Harvell Dam,1342,shallow_slow,Jul,15.03014564
Above Harvell Dam,1342,shallow_fast,Jul,-41.19737505
Above Harvell Dam,1342,deep_slow,Jul,-10.5820449
Above Harvell Dam,1342,deep_fast,Jul,-36.24488681
Above Harvell Dam,1342,as_spawn,Jul,-94.87476072
Above Harvell Dam,1342,as_juv,Jul,-11.86988585
Above Harvell Dam,1342,l_rad,Jul,-59.87041872
Above Harvell Dam,1342,e_comp,Jul,-50.98863341
Above Harvell Dam,1342,rh_spawn,Jul,-5.703891197
Above Harvell Dam,1342,smb_juv,Aug,-18.11173355
Above Harvell Dam,1342,smb_adult,Aug,-13.80437106
Above Harvell Dam,1342,smb_spawn,Aug,14.60095581
Above Harvell Dam,1342,rbs_spawn,Aug,-0.227667532
Above Harvell Dam,1342,nh_adult,Aug,-43.17853487
Above Harvell Dam,1342,nh_spawn,Aug,-40.68733451
Above Harvell Dam,1342,bd_high_grad,Aug,-9.33073191
Above Harvell Dam,1342,bd_low_grad,Aug,11.42994313
Above Harvell Dam,1342,shallow_slow,Aug,15.49782203
Above Harvell Dam,1342,shallow_fast,Aug,-41.2832881
Above Harvell Dam,1342,deep_slow,Aug,-10.71338643
Above Harvell Dam,1342,deep_fast,Aug,-38.81982738
Above Harvell Dam,1342,as_spawn,Aug,-95.3839336
Above Harvell Dam,1342,as_juv,Aug,-16.30109218
Above Harvell Dam,1342,l_rad,Aug,-58.66297426
Above Harvell Dam,1342,e_comp,Aug,-50.4898949
Above Harvell Dam,1342,rh_spawn,Aug,-6.297797973
Above Harvell Dam,1342,smb_juv,Sep,-20.66234367
Above Harvell Dam,1342,smb_adult,Sep,-18.74985706
Above Harvell Dam,1342,smb_spawn,Sep,5.647543169
Above Harvell Dam,1342,rbs_spawn,Sep,-2.401922636
Above Harvell Dam,1342,nh_adult,Sep,-41.61355819
Above Harvell Dam,1342,nh_spawn,Sep,-40.01492302
Above Harvell Dam,1342,bd_high_grad,Sep,-12.18572913
Above Harvell Dam,1342,bd_low_grad,Sep,10.78582662
Above Harvell Dam,1342,shallow_slow,Sep,12.96311734
Above Harvell Dam,1342,shallow_fast,Sep,-39.69265466
Above Harvell Dam,1342,deep_slow,Sep,-10.74509899
Above Harvell Dam,1342,deep_fast,Sep,-41.59492797
Above Harvell Dam,1342,as_spawn,Sep,-96.69783196
Above Harvell Dam,1342,as_juv,Sep,-21.92882778
Above Harvell Dam,1342,l_rad,Sep,-57.0050721
Above Harvell Dam,1342,e_comp,Sep,-50.07731186
Above Harvell Dam,1342,rh_spawn,Sep,-7.50285697
Above Harvell Dam,1342,smb_juv,Oct,-17.22817898
Above Harvell Dam,1342,smb_adult,Oct,-11.99182763
Above Harvell Dam,1342,smb_spawn,Oct,19.74514644
Above Harvell Dam,1342,rbs_spawn,Oct,2.169901244
Above Harvell Dam,1342,nh_adult,Oct,-43.71323865
Above Harvell Dam,1342,nh_spawn,Oct,-40.62319889
Above Harvell Dam,1342,bd_high_grad,Oct,-10.09576937
Above Harvell Dam,1342,bd_low_grad,Oct,11.83883597
Above Harvell Dam,1342,shallow_slow,Oct,15.51934612
Above Harvell Dam,1342,shallow_fast,Oct,-43.36152745
Above Harvell Dam,1342,deep_slow,Oct,-10.69705497
Above Harvell Dam,1342,deep_fast,Oct,-37.38974977
Above Harvell Dam,1342,as_spawn,Oct,-94.96575047
Above Harvell Dam,1342,as_juv,Oct,-13.76347407
Above Harvell Dam,1342,l_rad,Oct,-59.36845527
Above Harvell Dam,1342,e_comp,Oct,-50.89220756
Above Harvell Dam,1342,rh_spawn,Oct,-5.989700452
Above Harvell Dam,1342,smb_juv,Nov,-11.92993664
Above Harvell Dam,1342,smb_adult,Nov,-1.775299338
Above Harvell Dam,1342,smb_spawn,Nov,59.491153
Above Harvell Dam,1342,rbs_spawn,Nov,34.70788452
Above Harvell Dam,1342,nh_adult,Nov,-46.93824799
Above Harvell Dam,1342,nh_spawn,Nov,-40.78860069
