huc8,huc8_zero,huc6,target_hydrocode,MAF breakpoint,DA breakpoint,ghi,huc6_maf
2070001,2070001,20700,nhd_huc8_02070001,408,486,134.9,306.8
2070002,2070002,20700,nhd_huc8_02070002,408,486,134.9,306.8
2070003,2070003,20700,nhd_huc8_02070003,408,486,134.9,306.8
2070004,2070004,20700,nhd_huc8_02070004,408,486,134.9,306.8
2070005,2070005,20700,nhd_huc8_02070005,408,486,134.9,306.8
2070006,2070006,20700,nhd_huc8_02070006,408,486,134.9,306.8
2070007,2070007,20700,nhd_huc8_02070007,408,486,134.9,306.8
2070008,2070008,20700,nhd_huc8_02070008,408,486,134.9,306.8
2070009,2070009,20700,nhd_huc8_02070009,408,486,134.9,306.8
2070010,2070010,20700,nhd_huc8_02070010,408,486,134.9,306.8
2070011,2070011,20700,nhd_huc8_02070011,408,486,134.9,306.8
2080101,2080101,20801,nhd_huc8_02080101,408,486,342.9,348.4
2080102,2080102,20801,nhd_huc8_02080102,408,486,342.9,348.4
2080103,2080103,20801,nhd_huc8_02080103,408,486,342.9,348.4
2080104,2080104,20801,nhd_huc8_02080104,408,486,342.9,348.4
2080105,2080105,20801,nhd_huc8_02080105,408,486,342.9,348.4
2080106,2080106,20801,nhd_huc8_02080106,408,486,342.9,348.4
2080107,2080107,20801,nhd_huc8_02080107,408,486,342.9,348.4
2080108,2080108,20801,nhd_huc8_02080108,408,486,342.9,348.4
2080109,2080109,20801,nhd_huc8_02080109,408,486,342.9,348.4
2080110,2080110,20801,nhd_huc8_02080110,408,486,342.9,348.4
2080111,2080111,20801,nhd_huc8_02080111,408,486,342.9,348.4
2080201,2080201,20802,nhd_huc8_02080201,408,486,386.6,389.3
2080202,2080202,20802,nhd_huc8_02080202,408,486,386.6,389.3
2080203,2080203,20802,nhd_huc8_02080203,408,486,386.6,389.3
2080204,2080204,20802,nhd_huc8_02080204,408,486,386.6,389.3
2080205,2080205,20802,nhd_huc8_02080205,408,486,386.6,389.3
2080206,2080206,20802,nhd_huc8_02080206,408,486,386.6,389.3
2080207,2080207,20802,nhd_huc8_02080207,408,486,386.6,389.3
2080208,2080208,20802,nhd_huc8_02080208,408,486,386.6,389.3
3010101,3010101,30101,nhd_huc8_03010101,408,486,342,384.7
3010102,3010102,30101,nhd_huc8_03010102,408,486,342,384.7
3010103,3010103,30101,nhd_huc8_03010103,408,486,342,384.7
3010104,3010104,30101,nhd_huc8_03010104,408,486,342,384.7
3010105,3010105,30101,nhd_huc8_03010105,408,486,342,384.7
3010106,3010106,30101,nhd_huc8_03010106,408,486,342,384.7
