target_hydrocode,HUC8,ghi
nhd_huc8_02070001,2070001,306.8
nhd_huc8_02070004,2070004,306.8
nhd_huc8_02070005,2070005,306.8
nhd_huc8_02070006,2070006,306.8
nhd_huc8_02070007,2070007,306.8
nhd_huc8_02070008,2070008,306.8
nhd_huc8_02070010,2070010,306.8
nhd_huc8_02070011,2070011,306.8
nhd_huc8_02080102,2080102,348.4
nhd_huc8_02080103,2080103,348.4
nhd_huc8_02080104,2080104,348.4
nhd_huc8_02080105,2080105,348.4
nhd_huc8_02080106,2080106,348.4
nhd_huc8_02080107,2080107,348.4
nhd_huc8_02080108,2080108,348.4
nhd_huc8_02080201,2080201,389.3
nhd_huc8_02080202,2080202,389.3
nhd_huc8_02080203,2080203,389.3
nhd_huc8_02080204,2080204,389.3
nhd_huc8_02080205,2080205,389.3
nhd_huc8_02080206,2080206,389.3
nhd_huc8_02080207,2080207,389.3
nhd_huc8_02080208,2080208,389.3
nhd_huc8_03010101,3010101,384.7
nhd_huc8_03010102,3010102,384.7
nhd_huc8_03010103,3010103,384.7
nhd_huc8_03010104,3010104,384.7
nhd_huc8_03010105,3010105,384.7
nhd_huc8_03010106,3010106,384.7
nhd_huc8_03010201,3010201,408
nhd_huc8_03010202,3010202,408
nhd_huc8_03010203,3010203,408
nhd_huc8_03010204,3010204,408
nhd_huc8_03010205,3010205,408
nhd_huc8_05050001,5050001,348.3
nhd_huc8_05050002,5050002,348.3
nhd_huc8_05070201,5070201,348.3
nhd_huc8_05070202,5070202,348.3
nhd_huc8_06010101,6010101,775.9
nhd_huc8_06010102,6010102,775.9
nhd_huc8_06010104,6010104,775.9
nhd_huc8_06010205,6010205,577
nhd_huc8_06010206,6010206,577
