glo,ghi,target_hydrocode,,pwitglo,pwitghi,,Quantreg DA glo,Quantreg DA ghi,,quantregMAF glo,quantreg MAF ghi
1,88.2,20700,,70,120,,1,88.2,,1,91.6
1,22.9,20801,,15,55,,1,22.9,,1,54.3
1,91,20802,,30,408,,1,91,,1,30.7
1,40.5,30101,,30,408,,1,40.5,,1,49.5
1,35.2,30102,,30,408,,1,35.2,,1,40.5
1,44.4,50500,,30,408,,1,44.4,,1,88.9
1,408,60101,,30,408,,1,408,,1,174.1
1,408,60102,,1,896,,1,408,,1,408
,,,,,,,,,,,
,66.3,,,,388.875,,,,,,117.2
