HUC6,HydroID - Unique Feature ID,hydrocode,lat,long,Date,x_value,y_value,tscode,propcode
20700,210012,DGIF306339,38.83804276,-77.21219585,7/20/2001,1.078,1,20554-0,species
20700,210015,DGIF306358,38.83862653,-77.21186543,7/20/2001,1.078,1,20557-0,species
20700,210013,DGIF306340,38.83866573,-77.2130726,7/27/2001,1.078,1,20555-0,species
20700,209721,DGIF303648,38.74571662,-77.60861884,7/24/2002,91.144,1,19920-0,species
20700,209721,DGIF303648,38.74571662,-77.60861884,7/25/2002,91.144,1,19921-0,species
20700,206286,DGIF041621,38.6733337,-77.69221429,7/30/2002,19.643,1,13423-0,species
20700,209404,DGIF301952,38.77302094,-77.23867722,6/15/2003,18.139,1,17941-0,species
20700,209405,DGIF301955,38.77304057,-77.23871931,7/15/2003,18.139,1,17942-0,species
20700,209206,DGIF301181,38.83183179,-77.25557071,8/13/2003,0.886,1,17577-0,species
20700,209342,DGIF301615,38.63614563,-77.16252323,9/10/2003,2.143,1,17877-0,species
20700,209229,DGIF301212,38.89488395,-77.25946124,11/12/2003,1.38,1,17600-0,species
20700,209231,DGIF301214,38.91516803,-77.26279938,11/12/2003,3.348,1,17602-0,species
20700,210218,DGIF307626,38.75396388,-77.04673213,2/23/2004,1.333,1,20767-0,species
20700,209991,DGIF305848,38.75397287,-77.04673163,2/23/2004,1.333,1,20521-0,species
20700,210221,DGIF307631,38.76921248,-77.04777622,4/7/2004,1.333,1,20770-0,species
20700,209998,DGIF305857,38.76922108,-77.04776424,4/7/2004,1.333,1,20531-0,species
20700,210825,DGIF314577,38.70321808,-77.20640886,4/18/2004,0.61,1,22257-0,species
20700,218895,A05002,38.9837564,-77.72235022,7/1/2004,0.703,1,23995-0,species
20700,216962,A05007,39.03053469,-77.90697308,7/1/2004,1.931,1,23997-0,species
20700,210259,DGIF308196,38.74904615,-77.09085978,7/7/2004,2.357,1,21009-0,species
20700,210227,DGIF307782,37.99987196,-76.58032373,7/14/2004,5.602,1,20776-0,species
20700,210794,DGIF314073,38.0643115,-78.9074753,4/4/2005,169.212,1,22220-0,species
20700,210528,DGIF312381,38.34337769,-77.16835468,6/4/2005,3.4,1,21773-0,species
20700,210505,DGIF311863,38.93266565,-77.44112604,6/29/2005,1.965,1,21735-0,species
20700,218683,A09001,39.05504367,-77.41820519,9/6/2005,1.596,1,24015-0,species
20700,215982,A25013,38.66319917,-77.28495293,9/15/2006,0.622,1,24254-0,species
20700,211490,DGIF319487,38.69400051,-77.20023037,4/20/2007,38.046,1,23396-0,species
20700,211492,DGIF319490,38.50156184,-77.33954915,4/25/2007,34.807,1,23399-0,species
20700,211492,DGIF319490,38.50156184,-77.33954915,5/2/2007,34.807,1,23400-0,species
20700,211879,DGIF321296,38.7200642,-77.22536179,7/7/2007,0.764,1,23947-0,species
20700,211880,DGIF321297,38.81746282,-77.20146375,7/7/2007,4.538,1,23948-0,species
20700,211495,DGIF319515,38.1623686,-78.85572456,10/10/2007,262.381,1,23448-0,species
20700,211495,DGIF319515,38.1623686,-78.85572456,10/11/2007,262.381,1,23452-0,species
20700,211495,DGIF319515,38.1623686,-78.85572456,10/11/2007,262.381,1,23447-0,species
20700,211495,DGIF319515,38.1623686,-78.85572456,10/13/2007,262.381,1,23444-0,species
20700,211495,DGIF319515,38.1623686,-78.85572456,10/13/2007,262.381,1,23446-0,species
20700,211495,DGIF319515,38.1623686,-78.85572456,10/13/2007,262.381,1,23453-0,species
20700,211495,DGIF319515,38.1623686,-78.85572456,10/13/2007,262.381,1,23443-0,species
20700,196952,DGIF010071,38.54193871,-77.29444548,8/2/1972,36.337,2,1746-0,species
20700,196911,DGIF010010,37.91416514,-79.0197275,8/29/1973,6.423,2,1675-0,species
20700,197243,DGIF010442,37.92554988,-79.00389332,8/30/1973,9.566,2,2178-0,species
20700,195530,DGIF002402,38.84666214,-78.6036114,8/17/1990,85.951,2,75-0,species
20700,196476,DGIF007870,38.42179748,-79.268419,9/2/1991,9.308,2,1190-0,species
20700,196077,DGIF006407,38.87922866,-78.50324118,6/29/1992,8.348,2,692-0,species
20700,196320,DGIF007006,38.70223816,-78.44250619,9/21/1992,29.075,2,984-0,species
20700,207138,DGIF054845,38.75127157,-77.14967559,9/26/1992,1.061,2,14331-0,species
20700,207140,DGIF054847,38.75044872,-77.1525839,9/26/1992,1.061,2,14333-0,species
20700,195981,DGIF005174,38.17775092,-78.96505543,5/20/1993,91.615,2,576-0,species
20700,195983,DGIF005176,38.21155234,-78.98119973,5/26/1993,241.652,2,578-0,species
20700,195986,DGIF005179,39.21797954,-78.15628133,6/2/1993,3.124,2,581-0,species
20700,196621,DGIF008362,38.96051182,-77.3705216,9/22/1993,4.813,2,1378-0,species
20700,196631,DGIF008372,38.97143324,-77.3683366,9/29/1993,4.813,2,1388-0,species
20700,196438,DGIF007678,38.98674676,-77.7955877,12/3/1994,140.78,2,1150-0,species
20700,206416,DGIF050470,38.46123852,-78.61121072,2/24/1996,73.608,2,13590-0,species
20700,206422,DGIF050478,38.38399526,-78.55424085,3/16/1996,6.258,2,13596-0,species
20700,206423,DGIF050479,38.55462453,-78.63699131,3/16/1996,18.265,2,13597-0,species
20700,206424,DGIF050480,38.46526848,-78.50631039,3/17/1996,20.785,2,13598-0,species
20700,206947,DGIF053622,38.63385247,-77.16126766,5/15/1996,2.143,2,14138-0,species
20700,206498,DGIF050880,38.71282221,-77.07432797,7/10/1996,9.478,2,13672-0,species
20700,206499,DGIF050881,38.78966755,-77.05149026,7/19/1996,51.665,2,13673-0,species
20700,206503,DGIF050886,39.04103203,-77.99960228,8/27/1996,2.538,2,13677-0,species
20700,206523,DGIF051006,39.07014063,-77.51820384,4/19/1997,404.517,2,13711-0,species
20700,207387,DGIF055820,38.35407209,-77.0449043,3/13/1998,3.832,2,14591-0,species
20700,212882,A13002,38.80568868,-77.14646518,6/11/1999,2.613,2,24080-0,species
20700,208082,DGIF059650,38.80054485,-77.15166027,6/11/1999,2.443,2,15660-0,species
20700,208083,DGIF059651,38.79721545,-77.0819416,7/9/1999,2.599,2,15661-0,species
20700,215211,A14200,38.78927201,-77.06353019,8/2/1999,0.895,2,24101-0,species
20700,217470,A26018,38.58581721,-77.37894519,10/21/1999,0.481,2,24271-0,species
20700,208166,DGIF059741,38.57607448,-77.36661003,10/21/1999,0.793,2,15749-0,species
20700,215983,A26013,38.57669147,-77.36633599,10/21/1999,0.793,2,24266-0,species
20700,208173,DGIF059750,38.57142009,-77.3571492,10/26/1999,17.13,2,15756-0,species
20700,208777,DGIF065539,38.72496501,-77.15910401,4/1/2000,1.09,2,16914-0,species
20700,206218,DGIF041442,38.17598111,-76.91201572,7/27/2000,4.778,2,13243-0,species
20700,206218,DGIF041442,38.17598111,-76.91201572,9/14/2000,4.778,2,13244-0,species
20700,206240,DGIF041478,38.23093724,-77.0225308,9/15/2000,0.702,2,13279-0,species
20700,206218,DGIF041442,38.17598111,-76.91201572,10/5/2000,4.778,2,13245-0,species
20700,208777,DGIF065539,38.72496501,-77.15910401,4/1/2001,1.09,2,16915-0,species
20700,209053,DGIF067883,38.15694171,-79.04611359,6/21/2001,20.359,2,17264-0,species
20700,206218,DGIF041442,38.17598111,-76.91201572,8/14/2001,4.778,2,13246-0,species
20700,206218,DGIF041442,38.17598111,-76.91201572,8/15/2001,4.778,2,13247-0,species
20700,209054,DGIF067884,39.05332563,-78.19250282,8/28/2001,7.558,2,17265-0,species
20700,206218,DGIF041442,38.17598111,-76.91201572,7/24/2002,4.778,2,13248-0,species
20700,209720,DGIF303645,38.47903965,-77.3739104,12/12/2002,63.048,2,19919-0,species
20700,209177,DGIF301130,38.85377979,-77.28361986,1/8/2003,2.059,2,17535-0,species
20700,209195,DGIF301151,38.85377993,-77.2289037,5/29/2003,22.738,2,17564-0,species
20700,209198,DGIF301166,38.85377481,-77.27668552,7/14/2003,2.059,2,17567-0,species
20700,209209,DGIF301184,38.91711349,-77.26251273,8/13/2003,3.348,2,17580-0,species
20700,209212,DGIF301187,38.81933358,-77.26723323,8/13/2003,1.559,2,17583-0,species
20700,209216,DGIF301196,38.89294791,-77.25807614,10/16/2003,0.674,2,17587-0,species
20700,209217,DGIF301197,38.92155598,-77.25779411,10/16/2003,3.348,2,17588-0,species
20700,209232,DGIF301215,38.80211224,-77.29468874,11/12/2003,4.219,2,17603-0,species
20700,210824,DGIF314574,38.69793929,-77.20141243,4/16/2004,35.672,2,22255-0,species
20700,210367,DGIF308380,38.97580974,-77.24635141,6/8/2004,71.26,2,21141-0,species
20700,210364,DGIF308377,38.92889046,-77.11876862,6/8/2004,13.969,2,21138-0,species
20700,210019,DGIF306673,38.89645519,-78.87396359,6/11/2004,64.336,2,20565-0,species
20700,212623,A04003,38.86576464,-77.93672543,7/1/2004,0.478,2,23991-0,species
20700,210258,DGIF308195,38.80482058,-77.19303078,7/2/2004,4.538,2,21008-0,species
20700,210361,DGIF308374,38.80667275,-77.15939956,7/6/2004,2.443,2,21135-0,species
20700,210257,DGIF308194,38.7835616,-77.07233349,7/7/2004,0.895,2,21007-0,species
20700,216209,A02002,39.25264084,-77.67868839,7/7/2004,0.602,2,23983-0,species
20700,210148,DGIF307496,39.29094623,-77.60765526,7/7/2004,3.237,2,20697-0,species
20700,212836,A07002,39.10726202,-77.83792669,7/21/2004,1.841,2,24004-0,species
20700,210270,DGIF308216,38.58569319,-77.37960947,7/22/2004,0.481,2,21024-0,species
20700,210010,DGIF306092,38.51513008,-77.33443582,8/22/2004,31.381,2,20549-0,species
20700,210796,DGIF314075,38.082895,-78.87345072,4/4/2005,180.527,2,22222-0,species
20700,210812,DGIF314093,38.68691219,-78.45571984,7/12/2005,19.95,2,22239-0,species
20700,212370,A09005,39.05156307,-77.44939852,9/6/2005,0.669,2,24018-0,species
20700,216886,A24009,38.69640267,-77.32219313,9/22/2005,3.902,2,24233-0,species
20700,214464,A21007,38.78218608,-77.48576498,9/27/2005,4.384,2,24186-0,species
20700,211105,DGIF316416,38.40976953,-79.29444436,6/5/2006,4.157,2,22778-0,species
20700,218716,B51004,39.01091801,-78.41943571,4/25/2007,0.663,2,24442-0,species
20700,214514,B45001,38.63962221,-78.79017199,6/21/2007,4.755,2,24412-0,species
20700,211889,DGIF321306,38.93315321,-77.35256689,7/7/2007,0.724,2,23957-0,species
20700,211494,DGIF319497,38.17368827,-78.85580372,11/8/2007,265.674,2,23403-0,species
20700,211494,DGIF319497,38.17368827,-78.85580372,11/8/2007,265.674,2,23435-0,species
20700,196953,DGIF010072,38.56610563,-77.32750742,8/2/1972,27.752,3,1747-0,species
20700,196905,DGIF010003,38.36388402,-79.26750413,8/28/1973,40.758,3,1667-0,species
20700,196095,DGIF006482,38.71329497,-77.07392271,6/28/1990,9.465,3,710-0,species
20700,196094,DGIF006481,38.67934755,-77.17162433,6/28/1990,40.739,3,709-0,species
20700,196100,DGIF006487,38.80360019,-77.44560637,7/12/1990,220.853,3,715-0,species
20700,195529,DGIF002400,38.99499341,-78.35640047,8/15/1990,1.966,3,74-0,species
20700,195528,DGIF002399,39.06305128,-78.26083851,8/15/1990,3.713,3,73-0,species
20700,195534,DGIF002419,39.27138776,-78.08722686,12/6/1990,4.555,3,79-0,species
20700,196085,DGIF006415,39.22029147,-78.16241871,6/17/1992,3.124,3,700-0,species
20700,196318,DGIF007004,38.22069777,-79.15347033,8/21/1992,6.685,3,982-0,species
20700,195976,DGIF005169,38.32889667,-79.21022438,5/11/1993,43.318,3,571-0,species
20700,195977,DGIF005170,38.01292529,-79.15081428,5/12/1993,33.581,3,572-0,species
20700,195980,DGIF005173,38.34246564,-79.08241953,5/18/1993,5.475,3,575-0,species
20700,211985,VA537S,39.21733,-78.15602,6/2/1993,3.124,3,58091-0,species
20700,196311,DGIF006993,39.25492157,-77.57653674,8/12/1993,99.663,3,975-0,species
20700,196310,DGIF006992,38.81094215,-77.23064847,8/13/1993,30.539,3,974-0,species
20700,196619,DGIF008360,38.95910657,-77.37167783,9/22/1993,4.813,3,1376-0,species
20700,206883,DGIF053198,38.95614926,-78.19801707,10/17/1994,43.706,3,14072-0,species
20700,196439,DGIF007679,39.05058084,-77.69400931,12/3/1994,3.405,3,1151-0,species
20700,196442,DGIF007682,38.94476826,-77.18362065,6/6/1995,2.76,3,1154-0,species
20700,196444,DGIF007684,38.96409273,-77.17439139,6/7/1995,2.76,3,1156-0,species
20700,196902,DGIF009360,39.19331965,-78.07402797,12/4/1995,88.645,3,1664-0,species
20700,206785,DGIF051713,38.87012002,-77.68434856,3/4/1996,5.899,3,13974-0,species
20700,206944,DGIF053619,38.63396,-77.16125043,4/27/1996,2.143,3,14135-0,species
20700,206945,DGIF053620,38.63385845,-77.16117547,4/29/1996,2.143,3,14136-0,species
20700,206946,DGIF053621,38.63393038,-77.16117163,5/13/1996,2.143,3,14137-0,species
20700,208864,DGIF067430,38.72637059,-77.15856872,9/1/1998,1.09,3,17043-0,species
20700,215037,A13005,38.8467313,-77.176255,4/29/1999,8.575,3,24083-0,species
20700,217977,A24204,38.72963661,-77.29837718,6/23/1999,0.748,3,24240-0,species
20700,208176,DGIF059755,38.72915714,-77.29749927,6/23/1999,0.748,3,15761-0,species
20700,208080,DGIF059647,38.84665655,-77.17611376,6/29/1999,8.575,3,15657-0,species
20700,208075,DGIF059640,38.78915848,-77.06361345,8/2/1999,0.895,3,15650-0,species
20700,218692,A13003,38.86191128,-77.16935733,8/12/1999,5.879,3,24081-0,species
20700,208085,DGIF059653,38.86166038,-77.16972181,8/12/1999,5.879,3,15663-0,species
20700,208786,DGIF065672,38.69848726,-77.16307426,8/18/1999,61.451,3,16928-0,species
20700,208787,DGIF065673,38.70043514,-77.16314244,8/19/1999,59.344,3,16929-0,species
20700,214530,A12004,38.85791277,-77.12760117,8/20/1999,1.194,3,24068-0,species
20700,208121,DGIF059689,38.85805014,-77.12750068,8/20/1999,1.194,3,15699-0,species
20700,217469,A26017,38.58943856,-77.3829539,10/21/1999,0.481,3,24270-0,species
20700,208736,DGIF064845,38.68178006,-77.17026499,5/23/2000,40.739,3,16853-0,species
20700,217094,A13006,38.7972846,-77.08186332,8/7/2000,2.599,3,24085-0,species
20700,206215,DGIF041439,38.17066211,-76.98170469,10/5/2000,2.353,3,13240-0,species
20700,208781,DGIF065550,38.69365682,-77.15150634,4/1/2001,61.451,3,16922-0,species
20700,209048,DGIF067878,38.40361156,-78.90026798,6/21/2001,14.423,3,17259-0,species
20700,209068,DGIF067907,38.80582596,-77.84555376,6/27/2001,1.594,3,17279-0,species
20700,209046,DGIF067876,39.08500088,-77.51749741,8/7/2001,15.764,3,17257-0,species
20700,206230,DGIF041466,38.20034399,-77.03652571,8/15/2001,15.541,3,13267-0,species
20700,209043,DGIF067873,39.25305321,-78.04500033,8/22/2001,5.811,3,17254-0,species
20700,209051,DGIF067881,38.68944076,-78.45888347,8/28/2001,95.36,3,17262-0,species
20700,209069,DGIF067908,38.92444173,-77.43582953,9/26/2001,1.456,3,17280-0,species
20700,209715,DGIF303640,38.34431506,-77.14613969,7/16/2002,0.516,3,19897-0,species
20700,209718,DGIF303643,38.31098726,-77.22808042,7/17/2002,0.521,3,19906-0,species
20700,209715,DGIF303640,38.34431506,-77.14613969,9/29/2002,0.516,3,19898-0,species
20700,209723,DGIF303660,38.28737499,-77.16696222,10/1/2002,3.252,3,19924-0,species
20700,209718,DGIF303643,38.31098726,-77.22808042,10/1/2002,0.521,3,19907-0,species
20700,209724,DGIF303662,38.84016288,-77.67250637,10/2/2002,1.718,3,19926-0,species
20700,209726,DGIF303665,38.78321413,-77.61000627,10/3/2002,0.441,3,19930-0,species
20700,209718,DGIF303643,38.31098726,-77.22808042,12/13/2002,0.521,3,19908-0,species
20700,209723,DGIF303660,38.28737499,-77.16696222,12/13/2002,3.252,3,19925-0,species
20700,209715,DGIF303640,38.34431506,-77.14613969,12/19/2002,0.516,3,19899-0,species
20700,209179,DGIF301132,38.95739384,-77.22112633,1/8/2003,0.753,3,17537-0,species
20700,209187,DGIF301140,38.81182955,-77.26890332,1/9/2003,0.671,3,17546-0,species
20700,209188,DGIF301141,38.85599888,-77.3064053,1/9/2003,1.603,3,17547-0,species
20700,209506,DGIF302861,38.67988367,-77.18029432,5/12/2003,39.477,3,19536-0,species
20700,209506,DGIF302861,38.67988367,-77.18029432,5/30/2003,39.477,3,19537-0,species
20700,209499,DGIF302799,38.63272364,-77.20002675,6/6/2003,4.008,3,19482-0,species
20700,209200,DGIF301168,38.95822244,-77.22251273,7/14/2003,0.891,3,17569-0,species
20700,209210,DGIF301185,38.80655499,-77.29418205,8/13/2003,0.902,3,17581-0,species
20700,209506,DGIF302861,38.67988367,-77.18029432,9/16/2003,39.477,3,19538-0,species
20700,209485,DGIF302373,38.9733895,-77.4748808,10/7/2003,7.166,3,18024-0,species
20700,209484,DGIF302372,38.9726277,-77.4666797,10/7/2003,7.166,3,18023-0,species
20700,209442,DGIF302178,38.34903782,-77.02419038,10/14/2003,0.656,3,17980-0,species
20700,209516,DGIF302980,38.34922546,-77.02414579,10/14/2003,0.656,3,19635-0,species
20700,209215,DGIF301195,38.96322173,-77.21640923,10/14/2003,1.849,3,17586-0,species
20700,209442,DGIF302178,38.34903782,-77.02419038,10/15/2003,0.656,3,17981-0,species
20700,209516,DGIF302980,38.34922546,-77.02414579,10/15/2003,0.656,3,19636-0,species
20700,209223,DGIF301203,38.85766568,-77.27469679,11/11/2003,2.059,3,17594-0,species
20700,209225,DGIF301205,38.9643383,-77.21501146,11/11/2003,1.849,3,17596-0,species
20700,209234,DGIF301218,38.85655602,-77.30806985,11/12/2003,1.603,3,17605-0,species
20700,209992,DGIF305849,38.76255195,-77.04446299,2/23/2004,1.333,3,20522-0,species
20700,210219,DGIF307627,38.76255234,-77.04447447,2/23/2004,1.333,3,20768-0,species
20700,209994,DGIF305851,38.76883421,-77.04937328,2/24/2004,1.333,3,20526-0,species
20700,209994,DGIF305851,38.76883421,-77.04937328,2/24/2004,1.333,3,20525-0,species
20700,210220,DGIF307630,38.77055647,-77.14667022,4/7/2004,4.989,3,20769-0,species
20700,209999,DGIF305858,38.77055609,-77.14665874,4/7/2004,4.989,3,20532-0,species
20700,210256,DGIF308193,38.91281786,-77.2879173,7/1/2004,1.032,3,21005-0,species
20700,217473,A01004,39.29104546,-77.60736299,7/7/2004,3.237,3,23978-0,species
20700,215654,A03001,39.18452586,-77.55432974,7/13/2004,0.925,3,23986-0,species
20700,210177,DGIF307525,39.18480091,-77.55507195,7/13/2004,0.925,3,20726-0,species
20700,210362,DGIF308375,38.82101757,-77.46622552,7/21/2004,57.713,3,21136-0,species
20700,210351,DGIF308360,38.28854052,-77.0595655,7/27/2004,42.164,3,21125-0,species
20700,210793,DGIF314072,38.06161353,-78.8861367,4/11/2005,169.212,3,22219-0,species
20700,210624,DGIF313484,38.64294093,-77.20038231,4/12/2005,4.008,3,21985-0,species
20700,210803,DGIF314083,38.28375135,-78.8347007,4/13/2005,305.627,3,22229-0,species
20700,210797,DGIF314077,38.10736511,-78.86275106,4/13/2005,236.303,3,22223-0,species
20700,210624,DGIF313484,38.64294093,-77.20038231,6/19/2005,4.008,3,21986-0,species
20700,210799,DGIF314079,38.1540406,-79.0412839,6/27/2005,20.359,3,22225-0,species
20700,210820,DGIF314101,39.04531013,-78.1892506,7/12/2005,7.558,3,22248-0,species
20700,210806,DGIF314086,38.40202808,-78.90040541,7/13/2005,14.423,3,22232-0,species
20700,213164,A18004,38.64601601,-77.51593272,8/10/2005,1.108,3,24149-0,species
20700,212267,A08005,38.91144188,-77.69193533,8/24/2005,3.363,3,24010-0,species
20700,212677,A19004,38.74657001,-77.63041333,8/30/2005,0.779,3,24161-0,species
20700,218080,A18011,38.67696447,-77.55950519,9/9/2005,4.911,3,24154-0,species
20700,212530,A21008,38.92212388,-77.64853893,9/23/2005,0.985,3,24187-0,species
20700,210624,DGIF313484,38.64294093,-77.20038231,4/16/2006,4.008,3,21993-0,species
20700,211274,DGIF316819,38.10119659,-78.8699325,5/15/2006,212.83,3,22971-0,species
20700,211279,DGIF316829,38.18768847,-78.84921669,5/15/2006,285.219,3,22983-0,species
20700,211277,DGIF316825,38.14776683,-78.85504542,5/18/2006,262.381,3,22978-0,species
20700,211106,DGIF316417,38.40242671,-79.28713928,6/7/2006,4.157,3,22779-0,species
20700,212089,A29012,38.38019595,-77.36839709,6/23/2006,16.729,3,24292-0,species
20700,211274,DGIF316819,38.10119659,-78.8699325,8/14/2006,212.83,3,22972-0,species
20700,211279,DGIF316829,38.18768847,-78.84921669,8/15/2006,285.219,3,22984-0,species
20700,211277,DGIF316825,38.14776683,-78.85504542,8/17/2006,262.381,3,22979-0,species
20700,218770,A25011,38.63442112,-77.27700856,9/15/2006,2.075,3,24252-0,species
20700,210826,DGIF314578,38.72071757,-77.1314046,4/14/2007,11.249,3,22266-0,species
20700,210823,DGIF314572,38.57015478,-77.34028933,4/14/2007,26.902,3,22253-0,species
20700,218781,B22002,38.50936884,-78.94184964,6/19/2007,8.04,3,24340-0,species
20700,211449,DGIF319432,38.80503451,-77.19323809,9/11/2007,4.538,3,23354-0,species
20700,211486,DGIF319480,38.97349902,-77.34251069,10/4/2007,0.945,3,23392-0,species
20700,211489,DGIF319483,39.03405884,-77.40446483,10/22/2007,0.758,3,23395-0,species
20700,216538,1ANOF004.80,38.813609,-77.654335,11/16/2007,5.714,3,33720-0,species
20700,212085,1AABR000.78,39.17916667,-78.08555556,10/2/2008,23.98,3,33715-0,species
20700,196912,DGIF010011,38.42415966,-78.95028886,5/22/1984,15.813,4,1676-0,species
20700,195533,DGIF002414,39.15637662,-77.96916946,11/8/1990,3.904,4,78-0,species
20700,195875,DGIF004043,38.51338859,-77.29717244,4/2/1992,4.808,4,469-0,species
20700,207131,DGIF054838,38.89892415,-77.41151718,9/19/1992,1.673,4,14324-0,species
20700,195979,DGIF005172,38.133609,-78.86835153,5/17/1993,7.023,4,574-0,species
20700,196618,DGIF008359,38.96212603,-77.3697123,9/12/1993,4.813,4,1375-0,species
20700,196620,DGIF008361,38.9631149,-77.3702271,9/21/1993,4.813,4,1377-0,species
20700,196635,DGIF008376,39.00362797,-77.37126041,9/22/1993,12.377,4,1392-0,species
20700,196632,DGIF008373,39.00414167,-77.37126876,9/22/1993,12.377,4,1389-0,species
20700,196641,DGIF008382,39.03184567,-77.36306014,9/24/1993,20.001,4,1398-0,species
20700,196667,DGIF008408,39.06057067,-77.36881722,9/30/1993,23.88,4,1424-0,species
20700,196659,DGIF008400,39.05856085,-77.36878167,10/1/1993,23.88,4,1416-0,species
20700,196441,DGIF007681,38.96327699,-77.15781088,6/6/1995,1.148,4,1153-0,species
20700,206783,DGIF051711,38.83004938,-77.59825962,3/4/1996,11.086,4,13972-0,species
20700,206331,DGIF050144,38.11171077,-78.86267214,6/24/1996,236.303,4,13468-0,species
20700,207591,DGIF057675,38.8658616,-77.04265726,11/11/1998,0.13,4,14829-0,species
20700,208071,DGIF059636,38.85305208,-77.27944177,6/2/1999,2.059,4,15646-0,species
20700,208130,DGIF059698,38.74333262,-77.06611151,6/6/1999,4.856,4,15708-0,species
20700,208179,DGIF059759,38.96749825,-77.2052669,6/9/1999,5.935,4,15765-0,species
20700,217986,A11231,38.96747941,-77.20401593,6/9/1999,5.956,4,24062-0,species
20700,216991,A14001,38.74361347,-77.0658548,6/16/1999,4.856,4,24092-0,species
