HUC6,HydroID - Unique Feature ID,hydrocode,lat,long,Date,x_value,y_value,tscode,propcode
20700,199062,DGIF016278,39.09804871,-77.54667904,5/29/1983,13.612,1,4587-0,species
20700,196920,DGIF010019,38.50555257,-79.01862061,5/22/1984,2.336,1,1684-0,species
20700,195747,DGIF003800,38.74884713,-77.38802923,7/23/1991,225.621,1,309-0,species
20700,196321,DGIF007007,38.47061904,-79.51361323,6/17/1992,44.9,1,985-0,species
20700,206233,DGIF041470,38.20332198,-76.98507804,7/14/1992,0.892,1,13271-0,species
20700,196319,DGIF007005,38.21607201,-79.13335933,8/21/1992,125.399,1,983-0,species
20700,196317,DGIF007003,38.35733412,-79.03130831,8/21/1992,13.956,1,981-0,species
20700,211994,VA546S,38.87671,-78.37684,5/25/1993,1.935,1,58096-0,species
20700,196022,DGIF005285,38.82561771,-77.13220845,6/26/1993,22.499,1,617-0,species
20700,196622,DGIF008363,38.9603607,-77.37087543,9/22/1993,4.813,1,1379-0,species
20700,196615,DGIF008356,38.96078308,-77.37026547,9/22/1993,4.813,1,1372-0,species
20700,196283,DGIF006907,38.49742747,-79.54581106,2/26/1994,8.665,1,945-0,species
20700,196380,DGIF007536,38.47051326,-79.51379879,2/26/1995,44.9,1,1092-0,species
20700,196379,DGIF007535,38.4820953,-79.50899821,2/26/1995,50.353,1,1091-0,species
20700,208346,DGIF062636,38.50660565,-77.35394405,4/19/1995,31.381,1,15953-0,species
20700,196372,DGIF007412,38.13605399,-79.08778938,6/9/1995,8.455,1,1079-0,species
20700,208333,DGIF062621,38.68909233,-77.18975644,7/8/1995,39.477,1,15939-0,species
20700,208336,DGIF062624,38.50662649,-77.35403471,7/10/1995,31.381,1,15942-0,species
20700,208340,DGIF062628,38.51993281,-77.36275318,7/10/1995,26.354,1,15947-0,species
20700,206800,DGIF051799,38.52030264,-77.36276894,7/19/1995,26.354,1,13989-0,species
20700,208327,DGIF062614,38.50660779,-77.35401272,7/19/1995,31.381,1,15932-0,species
20700,208326,DGIF062613,38.68916014,-77.18990224,7/24/1995,39.477,1,15931-0,species
20700,208334,DGIF062622,38.52002169,-77.3627143,8/4/1995,26.354,1,15940-0,species
20700,208345,DGIF062634,38.69392699,-77.19741843,8/6/1995,38.046,1,15952-0,species
20700,208337,DGIF062625,38.6891017,-77.18976744,8/6/1995,39.477,1,15943-0,species
20700,208344,DGIF062633,38.68923208,-77.18989842,8/20/1995,39.477,1,15951-0,species
20700,208341,DGIF062629,38.50660672,-77.35397839,8/21/1995,31.381,1,15948-0,species
20700,208338,DGIF062626,38.51992346,-77.36274219,8/21/1995,26.354,1,15944-0,species
20700,208330,DGIF062618,38.68913279,-77.1898922,9/1/1995,39.477,1,15936-0,species
20700,208329,DGIF062616,38.50653655,-77.35403925,9/8/1995,31.381,1,15935-0,species
20700,206796,DGIF051729,38.34551857,-77.03383013,9/28/1995,4.474,1,13985-0,species
20700,206790,DGIF051723,38.34434383,-77.03185851,9/28/1995,4.849,1,13979-0,species
20700,206794,DGIF051727,38.33901909,-77.02677447,10/5/1995,4.849,1,13983-0,species
20700,206795,DGIF051728,38.3390187,-77.02676305,10/10/1995,4.849,1,13984-0,species
20700,206792,DGIF051725,38.33164021,-77.02088884,10/11/1995,6.545,1,13981-0,species
20700,206793,DGIF051726,38.33945237,-77.02494386,10/12/1995,4.849,1,13982-0,species
20700,206797,DGIF051730,38.3435309,-77.03365276,10/13/1995,4.849,1,13986-0,species
20700,206791,DGIF051724,38.33733043,-77.0226699,10/13/1995,0.656,1,13980-0,species
20700,206798,DGIF051731,38.35817667,-77.13025805,10/19/1995,1.343,1,13987-0,species
20700,206789,DGIF051722,38.35332622,-77.04495637,10/19/1995,3.917,1,13978-0,species
20700,206799,DGIF051732,38.35809242,-77.13206997,10/19/1995,1.343,1,13988-0,species
20700,206483,DGIF050819,38.60064454,-77.25772401,9/25/1996,23.762,1,13657-0,species
20700,207274,DGIF055335,38.04609884,-79.15028763,10/21/1997,33.581,1,14474-0,species
20700,209076,DGIF084860,38.42944309,-78.91522463,5/25/2000,15.813,1,17295-0,species
20700,208750,DGIF064859,38.34133563,-77.0294348,10/18/2000,4.849,1,16867-0,species
20700,208749,DGIF064858,38.36306286,-77.10853435,10/18/2000,6.282,1,16866-0,species
20700,208750,DGIF064859,38.34133563,-77.0294348,10/19/2000,4.849,1,16868-0,species
