ifim_site_name,ifim_da_sqmi,ifim_maf_cfs,metric,flow,pctchg
Above Harvell Dam,1342,1389.192,smb_juv,MAF,-15.0374697
Above Harvell Dam,1342,1389.192,smb_adult,MAF,-16.99924758
Above Harvell Dam,1342,1389.192,smb_spawn,MAF,-0.936070995
Above Harvell Dam,1342,1389.192,rbs_spawn,MAF,-2.008303143
Above Harvell Dam,1342,1389.192,nh_adult,MAF,-21.33844176
Above Harvell Dam,1342,1389.192,nh_spawn,MAF,-20.77534404
Above Harvell Dam,1342,1389.192,bd_high_grad,MAF,-11.55746504
Above Harvell Dam,1342,1389.192,bd_low_grad,MAF,1.509215599
Above Harvell Dam,1342,1389.192,shallow_slow,MAF,-0.881909025
Above Harvell Dam,1342,1389.192,shallow_fast,MAF,-15.91730462
Above Harvell Dam,1342,1389.192,deep_slow,MAF,-5.787477646
Above Harvell Dam,1342,1389.192,deep_fast,MAF,-26.33610896
Above Harvell Dam,1342,1389.192,as_spawn,MAF,-84.16380555
Above Harvell Dam,1342,1389.192,as_juv,MAF,-17.35305324
Above Harvell Dam,1342,1389.192,l_rad,MAF,-34.36907468
Above Harvell Dam,1342,1389.192,e_comp,MAF,-29.14382634
Above Harvell Dam,1342,1389.192,rh_spawn,MAF,-6.013518967
Above Harvell Dam,1342,1389.192,smb_juv,Jan,-5.658610253
Above Harvell Dam,1342,1389.192,smb_adult,Jan,0.15232239
Above Harvell Dam,1342,1389.192,smb_spawn,Jan,32.20753804
Above Harvell Dam,1342,1389.192,rbs_spawn,Jan,21.72819975
Above Harvell Dam,1342,1389.192,nh_adult,Jan,-28.92083813
Above Harvell Dam,1342,1389.192,nh_spawn,Jan,-18.43169784
Above Harvell Dam,1342,1389.192,bd_high_grad,Jan,-12.17291862
Above Harvell Dam,1342,1389.192,bd_low_grad,Jan,9.194972516
Above Harvell Dam,1342,1389.192,shallow_slow,Jan,4.615321804
Above Harvell Dam,1342,1389.192,shallow_fast,Jan,-13.58221043
Above Harvell Dam,1342,1389.192,deep_slow,Jan,-3.935553737
Above Harvell Dam,1342,1389.192,deep_fast,Jan,-11.87061439
