ifim_site_name,ifim_da_sqmi,ifim_maf_cfs,metric,flow,pctchg
Above Harvell Dam,1342,1389.192,smb_juv,MAF,-1.885702962
Above Harvell Dam,1342,1389.192,smb_adult,MAF,-1.789186866
Above Harvell Dam,1342,1389.192,smb_spawn,MAF,-0.128585682
Above Harvell Dam,1342,1389.192,rbs_spawn,MAF,-0.30915897
Above Harvell Dam,1342,1389.192,nh_adult,MAF,-3.844262537
Above Harvell Dam,1342,1389.192,nh_spawn,MAF,-4.092190305
Above Harvell Dam,1342,1389.192,bd_high_grad,MAF,-1.771695635
Above Harvell Dam,1342,1389.192,bd_low_grad,MAF,0.343728422
Above Harvell Dam,1342,1389.192,shallow_slow,MAF,-0.007460032
Above Harvell Dam,1342,1389.192,shallow_fast,MAF,-3.018777299
Above Harvell Dam,1342,1389.192,deep_slow,MAF,-0.844968973
Above Harvell Dam,1342,1389.192,deep_fast,MAF,-4.296315101
Above Harvell Dam,1342,1389.192,as_spawn,MAF,-21.50081197
Above Harvell Dam,1342,1389.192,as_juv,MAF,-2.530226566
Above Harvell Dam,1342,1389.192,l_rad,MAF,-5.805494319
Above Harvell Dam,1342,1389.192,e_comp,MAF,-4.771477435
Above Harvell Dam,1342,1389.192,rh_spawn,MAF,-0.677938959
Above Harvell Dam,1342,1389.192,smb_juv,Jan,-0.749736656
Above Harvell Dam,1342,1389.192,smb_adult,Jan,0.103056042
Above Harvell Dam,1342,1389.192,smb_spawn,Jan,4.306942858
Above Harvell Dam,1342,1389.192,rbs_spawn,Jan,2.977490003
Above Harvell Dam,1342,1389.192,nh_adult,Jan,-4.706918355
Above Harvell Dam,1342,1389.192,nh_spawn,Jan,-3.560359171
Above Harvell Dam,1342,1389.192,bd_high_grad,Jan,-0.874755744
Above Harvell Dam,1342,1389.192,bd_low_grad,Jan,2.026864768
Above Harvell Dam,1342,1389.192,shallow_slow,Jan,3.635232895
Above Harvell Dam,1342,1389.192,shallow_fast,Jan,-0.74831353
Above Harvell Dam,1342,1389.192,deep_slow,Jan,-0.524786646
Above Harvell Dam,1342,1389.192,deep_fast,Jan,-1.023916242
Above Harvell Dam,1342,1389.192,as_spawn,Jan,-10.234009
Above Harvell Dam,1342,1389.192,as_juv,Jan,-0.282511095
Above Harvell Dam,1342,1389.192,l_rad,Jan,-7.231540192
Above Harvell Dam,1342,1389.192,e_comp,Jan,-4.505152019
Above Harvell Dam,1342,1389.192,rh_spawn,Jan,-0.275537785
Above Harvell Dam,1342,1389.192,smb_juv,Feb,-0.466648916
Above Harvell Dam,1342,1389.192,smb_adult,Feb,0.482786791
Above Harvell Dam,1342,1389.192,smb_spawn,Feb,5.918625125
Above Harvell Dam,1342,1389.192,rbs_spawn,Feb,4.134316401
Above Harvell Dam,1342,1389.192,nh_adult,Feb,-4.703412119
Above Harvell Dam,1342,1389.192,nh_spawn,Feb,-4.186396795
Above Harvell Dam,1342,1389.192,bd_high_grad,Feb,4.07699488
Above Harvell Dam,1342,1389.192,bd_low_grad,Feb,3.829752776
Above Harvell Dam,1342,1389.192,shallow_slow,Feb,6.872378647
Above Harvell Dam,1342,1389.192,shallow_fast,Feb,0.717263777
Above Harvell Dam,1342,1389.192,deep_slow,Feb,-0.184776354
Above Harvell Dam,1342,1389.192,deep_fast,Feb,-0.523228826
Above Harvell Dam,1342,1389.192,as_spawn,Feb,-8.247318759
Above Harvell Dam,1342,1389.192,as_juv,Feb,-0.094032609
Above Harvell Dam,1342,1389.192,l_rad,Feb,-6.455841614
Above Harvell Dam,1342,1389.192,e_comp,Feb,-3.631635031
Above Harvell Dam,1342,1389.192,rh_spawn,Feb,-0.096580472
Above Harvell Dam,1342,1389.192,smb_juv,Mar,-0.387357356
Above Harvell Dam,1342,1389.192,smb_adult,Mar,0.628253309
Above Harvell Dam,1342,1389.192,smb_spawn,Mar,6.284727101
Above Harvell Dam,1342,1389.192,rbs_spawn,Mar,4.63806883
Above Harvell Dam,1342,1389.192,nh_adult,Mar,-4.660774972
Above Harvell Dam,1342,1389.192,nh_spawn,Mar,-4.945070235
Above Harvell Dam,1342,1389.192,bd_high_grad,Mar,6.542935998
Above Harvell Dam,1342,1389.192,bd_low_grad,Mar,5.016920067
Above Harvell Dam,1342,1389.192,shallow_slow,Mar,9.206353234
Above Harvell Dam,1342,1389.192,shallow_fast,Mar,3.774648588
Above Harvell Dam,1342,1389.192,deep_slow,Mar,-0.10947225
Above Harvell Dam,1342,1389.192,deep_fast,Mar,-0.369756851
Above Harvell Dam,1342,1389.192,as_spawn,Mar,-7.748670081
Above Harvell Dam,1342,1389.192,as_juv,Mar,-0.043190835
Above Harvell Dam,1342,1389.192,l_rad,Mar,-6.008202168
Above Harvell Dam,1342,1389.192,e_comp,Mar,-3.329288009
Above Harvell Dam,1342,1389.192,rh_spawn,Mar,-0.069753324
Above Harvell Dam,1342,1389.192,smb_juv,Apr,-0.405612019
Above Harvell Dam,1342,1389.192,smb_adult,Apr,0.584895378
Above Harvell Dam,1342,1389.192,smb_spawn,Apr,6.430710484
Above Harvell Dam,1342,1389.192,rbs_spawn,Apr,4.407089622
Above Harvell Dam,1342,1389.192,nh_adult,Apr,-4.694697202
Above Harvell Dam,1342,1389.192,nh_spawn,Apr,-4.843219109
Above Harvell Dam,1342,1389.192,bd_high_grad,Apr,6.023788367
Above Harvell Dam,1342,1389.192,bd_low_grad,Apr,4.587158909
Above Harvell Dam,1342,1389.192,shallow_slow,Apr,8.155400226
Above Harvell Dam,1342,1389.192,shallow_fast,Apr,3.367429131
Above Harvell Dam,1342,1389.192,deep_slow,Apr,-0.135966862
Above Harvell Dam,1342,1389.192,deep_fast,Apr,-0.404767314
Above Harvell Dam,1342,1389.192,as_spawn,Apr,-7.944631895
Above Harvell Dam,1342,1389.192,as_juv,Apr,-0.047919361
Above Harvell Dam,1342,1389.192,l_rad,Apr,-6.055561292
Above Harvell Dam,1342,1389.192,e_comp,Apr,-3.389817856
Above Harvell Dam,1342,1389.192,rh_spawn,Apr,-0.078234777
Above Harvell Dam,1342,1389.192,smb_juv,May,-0.886198105
Above Harvell Dam,1342,1389.192,smb_adult,May,-0.10544204
Above Harvell Dam,1342,1389.192,smb_spawn,May,3.562250775
Above Harvell Dam,1342,1389.192,rbs_spawn,May,2.392914208
Above Harvell Dam,1342,1389.192,nh_adult,May,-4.684985023
Above Harvell Dam,1342,1389.192,nh_spawn,May,-3.614534163
Above Harvell Dam,1342,1389.192,bd_high_grad,May,-2.196662457
Above Harvell Dam,1342,1389.192,bd_low_grad,May,1.216705197
Above Harvell Dam,1342,1389.192,shallow_slow,May,0.6437557
Above Harvell Dam,1342,1389.192,shallow_fast,May,-2.789595413
Above Harvell Dam,1342,1389.192,deep_slow,May,-0.617837011
Above Harvell Dam,1342,1389.192,deep_fast,May,-2.012587878
Above Harvell Dam,1342,1389.192,as_spawn,May,-12.69798839
Above Harvell Dam,1342,1389.192,as_juv,May,-0.37152966
Above Harvell Dam,1342,1389.192,l_rad,May,-7.715150546
Above Harvell Dam,1342,1389.192,e_comp,May,-5.475898082
Above Harvell Dam,1342,1389.192,rh_spawn,May,-0.336659862
Above Harvell Dam,1342,1389.192,smb_juv,Jun,-1.588332327
Above Harvell Dam,1342,1389.192,smb_adult,Jun,-1.351798427
Above Harvell Dam,1342,1389.192,smb_spawn,Jun,0.210462506
Above Harvell Dam,1342,1389.192,rbs_spawn,Jun,-0.325998495
Above Harvell Dam,1342,1389.192,nh_adult,Jun,-3.953860656
Above Harvell Dam,1342,1389.192,nh_spawn,Jun,-4.140893724
Above Harvell Dam,1342,1389.192,bd_high_grad,Jun,0.984329744
Above Harvell Dam,1342,1389.192,bd_low_grad,Jun,0.821502859
Above Harvell Dam,1342,1389.192,shallow_slow,Jun,0.3286866
Above Harvell Dam,1342,1389.192,shallow_fast,Jun,-5.014557157
Above Harvell Dam,1342,1389.192,deep_slow,Jun,-0.809211013
Above Harvell Dam,1342,1389.192,deep_fast,Jun,-3.779567891
Above Harvell Dam,1342,1389.192,as_spawn,Jun,-23.82326219
Above Harvell Dam,1342,1389.192,as_juv,Jun,-1.629334601
Above Harvell Dam,1342,1389.192,l_rad,Jun,-5.89713883
Above Harvell Dam,1342,1389.192,e_comp,Jun,-5.036425774
Above Harvell Dam,1342,1389.192,rh_spawn,Jun,-0.482634185
Above Harvell Dam,1342,1389.192,smb_juv,Jul,-2.467884997
Above Harvell Dam,1342,1389.192,smb_adult,Jul,-3.007635105
Above Harvell Dam,1342,1389.192,smb_spawn,Jul,-0.270213206
Above Harvell Dam,1342,1389.192,rbs_spawn,Jul,-0.276377218
Above Harvell Dam,1342,1389.192,nh_adult,Jul,-3.183879374
Above Harvell Dam,1342,1389.192,nh_spawn,Jul,-2.771627716
Above Harvell Dam,1342,1389.192,bd_high_grad,Jul,-1.843242647
Above Harvell Dam,1342,1389.192,bd_low_grad,Jul,0.305734014
Above Harvell Dam,1342,1389.192,shallow_slow,Jul,-0.340930945
Above Harvell Dam,1342,1389.192,shallow_fast,Jul,-2.785519883
Above Harvell Dam,1342,1389.192,deep_slow,Jul,-0.852065275
Above Harvell Dam,1342,1389.192,deep_fast,Jul,-4.331381562
Above Harvell Dam,1342,1389.192,as_spawn,Jul,-22.21329408
Above Harvell Dam,1342,1389.192,as_juv,Jul,-2.730567739
Above Harvell Dam,1342,1389.192,l_rad,Jul,-5.814603042
Above Harvell Dam,1342,1389.192,e_comp,Jul,-4.613133461
Above Harvell Dam,1342,1389.192,rh_spawn,Jul,-0.942555599
Above Harvell Dam,1342,1389.192,smb_juv,Aug,-3.500501317
Above Harvell Dam,1342,1389.192,smb_adult,Aug,-4.698937726
Above Harvell Dam,1342,1389.192,smb_spawn,Aug,-0.144319715
Above Harvell Dam,1342,1389.192,rbs_spawn,Aug,-0.164188974
Above Harvell Dam,1342,1389.192,nh_adult,Aug,-2.947091506
Above Harvell Dam,1342,1389.192,nh_spawn,Aug,-2.150131623
Above Harvell Dam,1342,1389.192,bd_high_grad,Aug,-1.712404615
Above Harvell Dam,1342,1389.192,bd_low_grad,Aug,0.197336972
Above Harvell Dam,1342,1389.192,shallow_slow,Aug,2.40452251
Above Harvell Dam,1342,1389.192,shallow_fast,Aug,-3.735152624
Above Harvell Dam,1342,1389.192,deep_slow,Aug,-0.946349907
Above Harvell Dam,1342,1389.192,deep_fast,Aug,-4.599372736
Above Harvell Dam,1342,1389.192,as_spawn,Aug,-19.54593903
Above Harvell Dam,1342,1389.192,as_juv,Aug,-3.770001109
Above Harvell Dam,1342,1389.192,l_rad,Aug,-5.781183939
Above Harvell Dam,1342,1389.192,e_comp,Aug,-4.46742112
Above Harvell Dam,1342,1389.192,rh_spawn,Aug,-1.535275275
Above Harvell Dam,1342,1389.192,smb_juv,Sep,-3.34053697
Above Harvell Dam,1342,1389.192,smb_adult,Sep,-4.654185914
Above Harvell Dam,1342,1389.192,smb_spawn,Sep,-0.126078816
Above Harvell Dam,1342,1389.192,rbs_spawn,Sep,-0.180836565
Above Harvell Dam,1342,1389.192,nh_adult,Sep,-3.02714223
Above Harvell Dam,1342,1389.192,nh_spawn,Sep,-2.441686044
Above Harvell Dam,1342,1389.192,bd_high_grad,Sep,-1.762899901
Above Harvell Dam,1342,1389.192,bd_low_grad,Sep,0.169253248
Above Harvell Dam,1342,1389.192,shallow_slow,Sep,2.16591487
Above Harvell Dam,1342,1389.192,shallow_fast,Sep,-3.590135555
Above Harvell Dam,1342,1389.192,deep_slow,Sep,-0.908255345
Above Harvell Dam,1342,1389.192,deep_fast,Sep,-4.541266373
Above Harvell Dam,1342,1389.192,as_spawn,Sep,-21.07823267
Above Harvell Dam,1342,1389.192,as_juv,Sep,-3.670419907
Above Harvell Dam,1342,1389.192,l_rad,Sep,-5.750518114
Above Harvell Dam,1342,1389.192,e_comp,Sep,-4.549803039
Above Harvell Dam,1342,1389.192,rh_spawn,Sep,-1.391621381
Above Harvell Dam,1342,1389.192,smb_juv,Oct,-3.366452653
Above Harvell Dam,1342,1389.192,smb_adult,Oct,-4.657169525
Above Harvell Dam,1342,1389.192,smb_spawn,Oct,-0.133091548
Above Harvell Dam,1342,1389.192,rbs_spawn,Oct,-0.172743562
Above Harvell Dam,1342,1389.192,nh_adult,Oct,-2.99544332
Above Harvell Dam,1342,1389.192,nh_spawn,Oct,-2.199815274
Above Harvell Dam,1342,1389.192,bd_high_grad,Oct,-1.763998396
Above Harvell Dam,1342,1389.192,bd_low_grad,Oct,0.180449847
Above Harvell Dam,1342,1389.192,shallow_slow,Oct,2.742265963
