ifim_site_name,ifim_da_sqmi,ifim_maf_cfs,metric,flow,pctchg
Above Harvell Dam,1342,1389.192,smb_juv,MAF,-9.178547534
Above Harvell Dam,1342,1389.192,smb_adult,MAF,-9.990908159
Above Harvell Dam,1342,1389.192,smb_spawn,MAF,-0.573029448
Above Harvell Dam,1342,1389.192,rbs_spawn,MAF,-1.308720746
Above Harvell Dam,1342,1389.192,nh_adult,MAF,-14.56544332
Above Harvell Dam,1342,1389.192,nh_spawn,MAF,-14.90833679
Above Harvell Dam,1342,1389.192,bd_high_grad,MAF,-7.586575578
Above Harvell Dam,1342,1389.192,bd_low_grad,MAF,1.290830312
Above Harvell Dam,1342,1389.192,shallow_slow,MAF,-0.605427675
Above Harvell Dam,1342,1389.192,shallow_fast,MAF,-11.87240251
Above Harvell Dam,1342,1389.192,deep_slow,MAF,-3.624177136
Above Harvell Dam,1342,1389.192,deep_fast,MAF,-17.40504962
Above Harvell Dam,1342,1389.192,as_spawn,MAF,-67.67952251
Above Harvell Dam,1342,1389.192,as_juv,MAF,-11.03274857
Above Harvell Dam,1342,1389.192,l_rad,MAF,-22.97515147
Above Harvell Dam,1342,1389.192,e_comp,MAF,-19.73224309
Above Harvell Dam,1342,1389.192,rh_spawn,MAF,-3.570556311
Above Harvell Dam,1342,1389.192,smb_juv,Jan,-3.483462753
Above Harvell Dam,1342,1389.192,smb_adult,Jan,0.094552877
Above Harvell Dam,1342,1389.192,smb_spawn,Jan,19.18922466
Above Harvell Dam,1342,1389.192,rbs_spawn,Jan,12.73266854
Above Harvell Dam,1342,1389.192,nh_adult,Jan,-18.93474852
Above Harvell Dam,1342,1389.192,nh_spawn,Jan,-13.02864733
Above Harvell Dam,1342,1389.192,bd_high_grad,Jan,-7.497554952
Above Harvell Dam,1342,1389.192,bd_low_grad,Jan,7.208645236
Above Harvell Dam,1342,1389.192,shallow_slow,Jan,6.464434295
Above Harvell Dam,1342,1389.192,shallow_fast,Jan,-6.918574616
Above Harvell Dam,1342,1389.192,deep_slow,Jan,-2.416836646
Above Harvell Dam,1342,1389.192,deep_fast,Jan,-6.494087278
Above Harvell Dam,1342,1389.192,as_spawn,Jan,-40.59171388
Above Harvell Dam,1342,1389.192,as_juv,Jan,-1.347437867
Above Harvell Dam,1342,1389.192,l_rad,Jan,-28.44395935
Above Harvell Dam,1342,1389.192,e_comp,Jan,-19.79187793
Above Harvell Dam,1342,1389.192,rh_spawn,Jan,-1.36231625
Above Harvell Dam,1342,1389.192,smb_juv,Feb,-2.500958453
Above Harvell Dam,1342,1389.192,smb_adult,Feb,1.316337035
Above Harvell Dam,1342,1389.192,smb_spawn,Feb,23.82875222
Above Harvell Dam,1342,1389.192,rbs_spawn,Feb,16.06057893
Above Harvell Dam,1342,1389.192,nh_adult,Feb,-18.93181298
Above Harvell Dam,1342,1389.192,nh_spawn,Feb,-15.53650162
Above Harvell Dam,1342,1389.192,bd_high_grad,Feb,7.922140318
Above Harvell Dam,1342,1389.192,bd_low_grad,Feb,13.74026133
Above Harvell Dam,1342,1389.192,shallow_slow,Feb,25.56674507
Above Harvell Dam,1342,1389.192,shallow_fast,Feb,8.732656322
Above Harvell Dam,1342,1389.192,deep_slow,Feb,-1.363535769
Above Harvell Dam,1342,1389.192,deep_fast,Feb,-3.116926802
Above Harvell Dam,1342,1389.192,as_spawn,Feb,-33.13914288
Above Harvell Dam,1342,1389.192,as_juv,Feb,-0.767293731
Above Harvell Dam,1342,1389.192,l_rad,Feb,-26.79912565
Above Harvell Dam,1342,1389.192,e_comp,Feb,-16.34953274
Above Harvell Dam,1342,1389.192,rh_spawn,Feb,-0.677311617
Above Harvell Dam,1342,1389.192,smb_juv,Mar,-1.985966408
Above Harvell Dam,1342,1389.192,smb_adult,Mar,2.188629935
Above Harvell Dam,1342,1389.192,smb_spawn,Mar,29.2298888
Above Harvell Dam,1342,1389.192,rbs_spawn,Mar,19.66703797
Above Harvell Dam,1342,1389.192,nh_adult,Mar,-18.8523151
Above Harvell Dam,1342,1389.192,nh_spawn,Mar,-17.24827799
Above Harvell Dam,1342,1389.192,bd_high_grad,Mar,20.99075724
Above Harvell Dam,1342,1389.192,bd_low_grad,Mar,18.53971434
Above Harvell Dam,1342,1389.192,shallow_slow,Mar,35.49952585
Above Harvell Dam,1342,1389.192,shallow_fast,Mar,9.589478656
Above Harvell Dam,1342,1389.192,deep_slow,Mar,-0.759782767
Above Harvell Dam,1342,1389.192,deep_fast,Mar,-2.189602166
Above Harvell Dam,1342,1389.192,as_spawn,Mar,-31.16027715
Above Harvell Dam,1342,1389.192,as_juv,Mar,-0.388999582
Above Harvell Dam,1342,1389.192,l_rad,Mar,-25.11565608
Above Harvell Dam,1342,1389.192,e_comp,Mar,-14.8161593
Above Harvell Dam,1342,1389.192,rh_spawn,Mar,-0.40520448
Above Harvell Dam,1342,1389.192,smb_juv,Apr,-2.137095243
Above Harvell Dam,1342,1389.192,smb_adult,Apr,1.885158859
Above Harvell Dam,1342,1389.192,smb_spawn,Apr,26.73088273
Above Harvell Dam,1342,1389.192,rbs_spawn,Apr,18.22876137
Above Harvell Dam,1342,1389.192,nh_adult,Apr,-18.87659714
Above Harvell Dam,1342,1389.192,nh_spawn,Apr,-16.38911622
Above Harvell Dam,1342,1389.192,bd_high_grad,Apr,15.59223273
Above Harvell Dam,1342,1389.192,bd_low_grad,Apr,16.33001605
Above Harvell Dam,1342,1389.192,shallow_slow,Apr,30.76467824
Above Harvell Dam,1342,1389.192,shallow_fast,Apr,9.157561474
Above Harvell Dam,1342,1389.192,deep_slow,Apr,-0.930831634
Above Harvell Dam,1342,1389.192,deep_fast,Apr,-2.486867647
Above Harvell Dam,1342,1389.192,as_spawn,Apr,-32.00561046
Above Harvell Dam,1342,1389.192,as_juv,Apr,-0.502661825
Above Harvell Dam,1342,1389.192,l_rad,Apr,-25.86721236
Above Harvell Dam,1342,1389.192,e_comp,Apr,-15.33438374
Above Harvell Dam,1342,1389.192,rh_spawn,Apr,-0.475455377
Above Harvell Dam,1342,1389.192,smb_juv,May,-3.667816249
Above Harvell Dam,1342,1389.192,smb_adult,May,0.027189904
Above Harvell Dam,1342,1389.192,smb_spawn,May,18.85100065
Above Harvell Dam,1342,1389.192,rbs_spawn,May,13.01344565
Above Harvell Dam,1342,1389.192,nh_adult,May,-19.78637615
Above Harvell Dam,1342,1389.192,nh_spawn,May,-15.55762082
Above Harvell Dam,1342,1389.192,bd_high_grad,May,-14.52182367
Above Harvell Dam,1342,1389.192,bd_low_grad,May,4.312423328
Above Harvell Dam,1342,1389.192,shallow_slow,May,-1.557115685
Above Harvell Dam,1342,1389.192,shallow_fast,May,-11.9605781
Above Harvell Dam,1342,1389.192,deep_slow,May,-2.549383894
Above Harvell Dam,1342,1389.192,deep_fast,May,-9.269922056
Above Harvell Dam,1342,1389.192,as_spawn,May,-47.64394357
Above Harvell Dam,1342,1389.192,as_juv,May,-1.468548667
Above Harvell Dam,1342,1389.192,l_rad,May,-30.55431643
Above Harvell Dam,1342,1389.192,e_comp,May,-22.05681246
Above Harvell Dam,1342,1389.192,rh_spawn,May,-1.400096734
Above Harvell Dam,1342,1389.192,smb_juv,Jun,-7.543973877
Above Harvell Dam,1342,1389.192,smb_adult,Jun,-7.026403172
Above Harvell Dam,1342,1389.192,smb_spawn,Jun,-0.491944047
Above Harvell Dam,1342,1389.192,rbs_spawn,Jun,-1.388875338
Above Harvell Dam,1342,1389.192,nh_adult,Jun,-15.96462066
Above Harvell Dam,1342,1389.192,nh_spawn,Jun,-16.56092849
Above Harvell Dam,1342,1389.192,bd_high_grad,Jun,-5.10079297
Above Harvell Dam,1342,1389.192,bd_low_grad,Jun,2.021349173
Above Harvell Dam,1342,1389.192,shallow_slow,Jun,-0.245583975
Above Harvell Dam,1342,1389.192,shallow_fast,Jun,-11.12154204
Above Harvell Dam,1342,1389.192,deep_slow,Jun,-3.588806275
Above Harvell Dam,1342,1389.192,deep_fast,Jun,-17.02542925
Above Harvell Dam,1342,1389.192,as_spawn,Jun,-66.69130712
Above Harvell Dam,1342,1389.192,as_juv,Jun,-9.635018443
Above Harvell Dam,1342,1389.192,l_rad,Jun,-23.13201443
Above Harvell Dam,1342,1389.192,e_comp,Jun,-19.96419344
Above Harvell Dam,1342,1389.192,rh_spawn,Jun,-2.671279898
Above Harvell Dam,1342,1389.192,smb_juv,Jul,-10.78406037
Above Harvell Dam,1342,1389.192,smb_adult,Jul,-13.08868462
Above Harvell Dam,1342,1389.192,smb_spawn,Jul,-0.787536269
Above Harvell Dam,1342,1389.192,rbs_spawn,Jul,-1.09034989
Above Harvell Dam,1342,1389.192,nh_adult,Jul,-12.78486058
Above Harvell Dam,1342,1389.192,nh_spawn,Jul,-10.97382715
Above Harvell Dam,1342,1389.192,bd_high_grad,Jul,-7.663403009
Above Harvell Dam,1342,1389.192,bd_low_grad,Jul,0.817073968
