ifim_site_name,ifim_da_sqmi,metric,flow,pctchg
Above Harvell Dam,1342,smb_juv,MAF,-3.842495059
Above Harvell Dam,1342,smb_adult,MAF,-3.65951084
Above Harvell Dam,1342,smb_spawn,MAF,-0.275677412
Above Harvell Dam,1342,rbs_spawn,MAF,-0.629114103
Above Harvell Dam,1342,nh_adult,MAF,-7.689512652
Above Harvell Dam,1342,nh_spawn,MAF,-7.828959588
Above Harvell Dam,1342,bd_high_grad,MAF,-3.618987494
Above Harvell Dam,1342,bd_low_grad,MAF,0.695115625
Above Harvell Dam,1342,shallow_slow,MAF,-0.405742261
Above Harvell Dam,1342,shallow_fast,MAF,-5.941524084
Above Harvell Dam,1342,deep_slow,MAF,-1.727975447
Above Harvell Dam,1342,deep_fast,MAF,-8.630026715
Above Harvell Dam,1342,as_spawn,MAF,-40.04875645
Above Harvell Dam,1342,as_juv,MAF,-5.161423804
Above Harvell Dam,1342,l_rad,MAF,-11.56371498
Above Harvell Dam,1342,e_comp,MAF,-9.674594598
Above Harvell Dam,1342,rh_spawn,MAF,-1.39160831
Above Harvell Dam,1342,smb_juv,Jan,-1.57237904
Above Harvell Dam,1342,smb_adult,Jan,0.118267152
Above Harvell Dam,1342,smb_spawn,Jan,8.927829993
Above Harvell Dam,1342,rbs_spawn,Jan,6.064292443
Above Harvell Dam,1342,nh_adult,Jan,-9.439285678
Above Harvell Dam,1342,nh_spawn,Jan,-7.221601698
Above Harvell Dam,1342,bd_high_grad,Jan,-1.807799523
Above Harvell Dam,1342,bd_low_grad,Jan,4.098591219
Above Harvell Dam,1342,shallow_slow,Jan,7.390235659
Above Harvell Dam,1342,shallow_fast,Jan,-1.595745183
Above Harvell Dam,1342,deep_slow,Jan,-1.107407962
Above Harvell Dam,1342,deep_fast,Jan,-2.118311657
Above Harvell Dam,1342,as_spawn,Jan,-19.99851598
Above Harvell Dam,1342,as_juv,Jan,-0.597361821
Above Harvell Dam,1342,l_rad,Jan,-14.46308038
Above Harvell Dam,1342,e_comp,Jan,-9.265096454
Above Harvell Dam,1342,rh_spawn,Jan,-0.593725674
Above Harvell Dam,1342,smb_juv,Feb,-1.034795061
Above Harvell Dam,1342,smb_adult,Feb,0.885969485
Above Harvell Dam,1342,smb_spawn,Feb,11.98894376
Above Harvell Dam,1342,rbs_spawn,Feb,8.418889522
Above Harvell Dam,1342,nh_adult,Feb,-9.423284911
Above Harvell Dam,1342,nh_spawn,Feb,-8.140954082
Above Harvell Dam,1342,bd_high_grad,Feb,6.644017076
Above Harvell Dam,1342,bd_low_grad,Feb,7.278915404
Above Harvell Dam,1342,shallow_slow,Feb,13.42657928
Above Harvell Dam,1342,shallow_fast,Feb,2.316361426
Above Harvell Dam,1342,deep_slow,Feb,-0.436799853
Above Harvell Dam,1342,deep_fast,Feb,-1.214038795
Above Harvell Dam,1342,as_spawn,Feb,-16.54541938
Above Harvell Dam,1342,as_juv,Feb,-0.245131481
Above Harvell Dam,1342,l_rad,Feb,-13.20535409
Above Harvell Dam,1342,e_comp,Feb,-7.637307441
Above Harvell Dam,1342,rh_spawn,Feb,-0.220706828
Above Harvell Dam,1342,smb_juv,Mar,-0.807740149
Above Harvell Dam,1342,smb_adult,Mar,1.242053265
Above Harvell Dam,1342,smb_spawn,Mar,13.73024384
Above Harvell Dam,1342,rbs_spawn,Mar,9.529632387
Above Harvell Dam,1342,nh_adult,Mar,-9.359375238
Above Harvell Dam,1342,nh_spawn,Mar,-9.789815232
Above Harvell Dam,1342,bd_high_grad,Mar,13.5971461
Above Harvell Dam,1342,bd_low_grad,Mar,10.00757818
Above Harvell Dam,1342,shallow_slow,Mar,18.44076625
Above Harvell Dam,1342,shallow_fast,Mar,5.791767146
Above Harvell Dam,1342,deep_slow,Mar,-0.248165359
Above Harvell Dam,1342,deep_fast,Mar,-0.783763845
Above Harvell Dam,1342,as_spawn,Mar,-15.50175207
Above Harvell Dam,1342,as_juv,Mar,-0.092179789
Above Harvell Dam,1342,l_rad,Mar,-12.0160463
Above Harvell Dam,1342,e_comp,Mar,-6.762577326
Above Harvell Dam,1342,rh_spawn,Mar,-0.149560179
Above Harvell Dam,1342,smb_juv,Apr,-0.889021366
Above Harvell Dam,1342,smb_adult,Apr,1.094809355
Above Harvell Dam,1342,smb_spawn,Apr,13.15010237
Above Harvell Dam,1342,rbs_spawn,Apr,8.961174963
Above Harvell Dam,1342,nh_adult,Apr,-9.402785409
Above Harvell Dam,1342,nh_spawn,Apr,-9.021219241
Above Harvell Dam,1342,bd_high_grad,Apr,10.547147
Above Harvell Dam,1342,bd_low_grad,Apr,8.801335474
Above Harvell Dam,1342,shallow_slow,Apr,15.98817992
Above Harvell Dam,1342,shallow_fast,Apr,4.09798565
Above Harvell Dam,1342,deep_slow,Apr,-0.328841217
Above Harvell Dam,1342,deep_fast,Apr,-0.948994186
Above Harvell Dam,1342,as_spawn,Apr,-15.93297531
Above Harvell Dam,1342,as_juv,Apr,-0.147104926
Above Harvell Dam,1342,l_rad,Apr,-12.38080934
Above Harvell Dam,1342,e_comp,Apr,-7.067845362
Above Harvell Dam,1342,rh_spawn,Apr,-0.178764462
Above Harvell Dam,1342,smb_juv,May,-1.798218483
Above Harvell Dam,1342,smb_adult,May,-0.23271207
Above Harvell Dam,1342,smb_spawn,May,7.895329142
Above Harvell Dam,1342,rbs_spawn,May,5.31245393
Above Harvell Dam,1342,nh_adult,May,-9.634967733
Above Harvell Dam,1342,nh_spawn,May,-7.280231795
Above Harvell Dam,1342,bd_high_grad,May,-5.524157857
Above Harvell Dam,1342,bd_low_grad,May,2.433410393
Above Harvell Dam,1342,shallow_slow,May,0.905100915
Above Harvell Dam,1342,shallow_fast,May,-5.642455146
Above Harvell Dam,1342,deep_slow,May,-1.232235346
Above Harvell Dam,1342,deep_fast,May,-4.070342854
Above Harvell Dam,1342,as_spawn,May,-25.39597678
Above Harvell Dam,1342,as_juv,May,-0.732049313
Above Harvell Dam,1342,l_rad,May,-15.34268666
Above Harvell Dam,1342,e_comp,May,-10.94991524
Above Harvell Dam,1342,rh_spawn,May,-0.717366951
Above Harvell Dam,1342,smb_juv,Jun,-3.509614059
Above Harvell Dam,1342,smb_adult,Jun,-3.185957777
Above Harvell Dam,1342,smb_spawn,Jun,-0.098081215
Above Harvell Dam,1342,rbs_spawn,Jun,-0.670222467
Above Harvell Dam,1342,nh_adult,Jun,-7.954427595
Above Harvell Dam,1342,nh_spawn,Jun,-8.303815783
Above Harvell Dam,1342,bd_high_grad,Jun,-0.840421962
Above Harvell Dam,1342,bd_low_grad,Jun,1.233859526
Above Harvell Dam,1342,shallow_slow,Jun,0.359051205
Above Harvell Dam,1342,shallow_fast,Jun,-6.442967431
Above Harvell Dam,1342,deep_slow,Jun,-1.684319871
Above Harvell Dam,1342,deep_fast,Jun,-8.139155385
Above Harvell Dam,1342,as_spawn,Jun,-40.75482111
Above Harvell Dam,1342,as_juv,Jun,-4.232530251
Above Harvell Dam,1342,l_rad,Jun,-11.6464977
Above Harvell Dam,1342,e_comp,Jun,-10.0327949
Above Harvell Dam,1342,rh_spawn,Jun,-1.187235317
Above Harvell Dam,1342,smb_juv,Jul,-5.124307725
Above Harvell Dam,1342,smb_adult,Jul,-6.196096704
Above Harvell Dam,1342,smb_spawn,Jul,-0.539136637
Above Harvell Dam,1342,rbs_spawn,Jul,-0.552754435
Above Harvell Dam,1342,nh_adult,Jul,-6.367758749
Above Harvell Dam,1342,nh_spawn,Jul,-5.543255433
Above Harvell Dam,1342,bd_high_grad,Jul,-3.731500854
Above Harvell Dam,1342,bd_low_grad,Jul,0.605434108
Above Harvell Dam,1342,shallow_slow,Jul,-0.689621037
Above Harvell Dam,1342,shallow_fast,Jul,-5.717194024
Above Harvell Dam,1342,deep_slow,Jul,-1.748460824
Above Harvell Dam,1342,deep_fast,Jul,-8.674974173
Above Harvell Dam,1342,as_spawn,Jul,-43.5700127
Above Harvell Dam,1342,as_juv,Jul,-5.655374269
Above Harvell Dam,1342,l_rad,Jul,-11.5718537
Above Harvell Dam,1342,e_comp,Jul,-9.226266921
Above Harvell Dam,1342,rh_spawn,Jul,-2.000921945
Above Harvell Dam,1342,smb_juv,Aug,-6.989814653
Above Harvell Dam,1342,smb_adult,Aug,-9.394860158
Above Harvell Dam,1342,smb_spawn,Aug,-0.28714578
Above Harvell Dam,1342,rbs_spawn,Aug,-0.331304724
Above Harvell Dam,1342,nh_adult,Aug,-5.903437513
Above Harvell Dam,1342,nh_spawn,Aug,-4.308465156
Above Harvell Dam,1342,bd_high_grad,Aug,-3.48823499
Above Harvell Dam,1342,bd_low_grad,Aug,0.392487887
Above Harvell Dam,1342,shallow_slow,Aug,4.875321945
Above Harvell Dam,1342,shallow_fast,Aug,-7.460235429
Above Harvell Dam,1342,deep_slow,Aug,-1.947941182
Above Harvell Dam,1342,deep_fast,Aug,-9.194818002
Above Harvell Dam,1342,as_spawn,Aug,-37.6635855
Above Harvell Dam,1342,as_juv,Aug,-7.543402022
Above Harvell Dam,1342,l_rad,Aug,-11.5117471
Above Harvell Dam,1342,e_comp,Aug,-8.942959449
Above Harvell Dam,1342,rh_spawn,Aug,-3.059212706
Above Harvell Dam,1342,smb_juv,Sep,-6.724023285
Above Harvell Dam,1342,smb_adult,Sep,-9.316926104
