ifim_site_name,ifim_da_sqmi,metric,flow,pctchg
Above Harvell Dam,1342,smb_juv,MAF,-22.40562686
Above Harvell Dam,1342,smb_adult,MAF,-26.14424864
Above Harvell Dam,1342,smb_spawn,MAF,-1.343183975
Above Harvell Dam,1342,rbs_spawn,MAF,-2.643072125
Above Harvell Dam,1342,nh_adult,MAF,-28.45945642
Above Harvell Dam,1342,nh_spawn,MAF,-26.53557062
Above Harvell Dam,1342,bd_high_grad,MAF,-15.80455774
Above Harvell Dam,1342,bd_low_grad,MAF,2.118542095
Above Harvell Dam,1342,shallow_slow,MAF,-1.308387047
Above Harvell Dam,1342,shallow_fast,MAF,-22.82828117
Above Harvell Dam,1342,deep_slow,MAF,-8.436502731
Above Harvell Dam,1342,deep_fast,MAF,-35.59751986
Above Harvell Dam,1342,as_spawn,MAF,-93.01947733
Above Harvell Dam,1342,as_juv,MAF,-25.24949694
Above Harvell Dam,1342,l_rad,MAF,-45.14224968
Above Harvell Dam,1342,e_comp,MAF,-38.43607734
Above Harvell Dam,1342,rh_spawn,MAF,-9.48956562
Above Harvell Dam,1342,smb_juv,Jan,-8.460245085
Above Harvell Dam,1342,smb_adult,Jan,-0.524323464
Above Harvell Dam,1342,smb_spawn,Jan,46.2299719
Above Harvell Dam,1342,rbs_spawn,Jan,29.1014122
Above Harvell Dam,1342,nh_adult,Jan,-39.07410692
Above Harvell Dam,1342,nh_spawn,Jan,-27.55165406
Above Harvell Dam,1342,bd_high_grad,Jan,-17.61319753
Above Harvell Dam,1342,bd_low_grad,Jan,10.67668599
Above Harvell Dam,1342,shallow_slow,Jan,8.165254316
Above Harvell Dam,1342,shallow_fast,Jan,-21.89232561
Above Harvell Dam,1342,deep_slow,Jan,-5.986245612
Above Harvell Dam,1342,deep_fast,Jan,-18.4458823
Above Harvell Dam,1342,as_spawn,Jan,-76.22933016
Above Harvell Dam,1342,as_juv,Jan,-3.608049599
Above Harvell Dam,1342,l_rad,Jan,-55.15590271
Above Harvell Dam,1342,e_comp,Jan,-41.55506747
Above Harvell Dam,1342,rh_spawn,Jan,-3.321718738
Above Harvell Dam,1342,smb_juv,Feb,-6.769509361
Above Harvell Dam,1342,smb_adult,Feb,1.513029227
Above Harvell Dam,1342,smb_spawn,Feb,54.71963681
Above Harvell Dam,1342,rbs_spawn,Feb,36.22506758
Above Harvell Dam,1342,nh_adult,Feb,-38.64927808
Above Harvell Dam,1342,nh_spawn,Feb,-26.2132142
Above Harvell Dam,1342,bd_high_grad,Feb,-6.885742188
Above Harvell Dam,1342,bd_low_grad,Feb,24.5395988
Above Harvell Dam,1342,shallow_slow,Feb,24.14829026
Above Harvell Dam,1342,shallow_fast,Feb,-1.58678133
Above Harvell Dam,1342,deep_slow,Feb,-4.355056385
Above Harvell Dam,1342,deep_fast,Feb,-11.0356697
Above Harvell Dam,1342,as_spawn,Feb,-65.98813376
Above Harvell Dam,1342,as_juv,Feb,-2.405898088
Above Harvell Dam,1342,l_rad,Feb,-53.54011291
Above Harvell Dam,1342,e_comp,Feb,-37.42972585
Above Harvell Dam,1342,rh_spawn,Feb,-2.378566258
Above Harvell Dam,1342,smb_juv,Mar,-6.127722088
Above Harvell Dam,1342,smb_adult,Mar,2.281395744
Above Harvell Dam,1342,smb_spawn,Mar,60.80587858
Above Harvell Dam,1342,rbs_spawn,Mar,39.23921571
Above Harvell Dam,1342,nh_adult,Mar,-38.08063934
Above Harvell Dam,1342,nh_spawn,Mar,-27.80971333
Above Harvell Dam,1342,bd_high_grad,Mar,10.83679184
Above Harvell Dam,1342,bd_low_grad,Mar,32.88528578
Above Harvell Dam,1342,shallow_slow,Mar,56.40458523
Above Harvell Dam,1342,shallow_fast,Mar,4.396371235
Above Harvell Dam,1342,deep_slow,Mar,-3.671641055
Above Harvell Dam,1342,deep_fast,Mar,-8.32337539
Above Harvell Dam,1342,as_spawn,Mar,-62.19301197
Above Harvell Dam,1342,as_juv,Mar,-2.047121885
Above Harvell Dam,1342,l_rad,Mar,-51.21276836
Above Harvell Dam,1342,e_comp,Mar,-34.77355416
Above Harvell Dam,1342,rh_spawn,Mar,-1.989112763
Above Harvell Dam,1342,smb_juv,Apr,-6.433414108
Above Harvell Dam,1342,smb_adult,Apr,1.915313192
Above Harvell Dam,1342,smb_spawn,Apr,57.89262027
Above Harvell Dam,1342,rbs_spawn,Apr,37.80704064
Above Harvell Dam,1342,nh_adult,Apr,-38.47761167
Above Harvell Dam,1342,nh_spawn,Apr,-27.0849729
Above Harvell Dam,1342,bd_high_grad,Apr,0.78371054
Above Harvell Dam,1342,bd_low_grad,Apr,28.81926164
Above Harvell Dam,1342,shallow_slow,Apr,40.02650038
Above Harvell Dam,1342,shallow_fast,Apr,1.407328212
Above Harvell Dam,1342,deep_slow,Apr,-4.003035486
Above Harvell Dam,1342,deep_fast,Apr,-9.595560494
Above Harvell Dam,1342,as_spawn,Apr,-63.81054653
Above Harvell Dam,1342,as_juv,Apr,-2.216245336
Above Harvell Dam,1342,l_rad,Apr,-52.3459889
Above Harvell Dam,1342,e_comp,Apr,-35.98583615
Above Harvell Dam,1342,rh_spawn,Apr,-2.174741287
Above Harvell Dam,1342,smb_juv,May,-9.301130778
Above Harvell Dam,1342,smb_adult,May,-1.604876323
Above Harvell Dam,1342,smb_spawn,May,39.60495153
Above Harvell Dam,1342,rbs_spawn,May,22.40045096
Above Harvell Dam,1342,nh_adult,May,-38.70091548
Above Harvell Dam,1342,nh_spawn,May,-33.52012447
Above Harvell Dam,1342,bd_high_grad,May,-17.93916412
Above Harvell Dam,1342,bd_low_grad,May,8.115392455
Above Harvell Dam,1342,shallow_slow,May,3.557478404
Above Harvell Dam,1342,shallow_fast,May,-37.94589916
Above Harvell Dam,1342,deep_slow,May,-6.652632973
Above Harvell Dam,1342,deep_fast,May,-22.20989377
Above Harvell Dam,1342,as_spawn,May,-83.05033979
Above Harvell Dam,1342,as_juv,May,-4.291228124
Above Harvell Dam,1342,l_rad,May,-56.70701204
Above Harvell Dam,1342,e_comp,May,-43.98817351
Above Harvell Dam,1342,rh_spawn,May,-3.626846848
Above Harvell Dam,1342,smb_juv,Jun,-19.1559404
Above Harvell Dam,1342,smb_adult,Jun,-20.35230495
Above Harvell Dam,1342,smb_spawn,Jun,-1.207904449
Above Harvell Dam,1342,rbs_spawn,Jun,-3.075118517
Above Harvell Dam,1342,nh_adult,Jun,-30.67253205
Above Harvell Dam,1342,nh_spawn,Jun,-31.42743848
Above Harvell Dam,1342,bd_high_grad,Jun,-13.88585234
Above Harvell Dam,1342,bd_low_grad,Jun,3.074877227
Above Harvell Dam,1342,shallow_slow,Jun,-2.963108588
Above Harvell Dam,1342,shallow_fast,Jun,-20.39642122
Above Harvell Dam,1342,deep_slow,Jun,-8.136154217
Above Harvell Dam,1342,deep_fast,Jun,-35.08796505
Above Harvell Dam,1342,as_spawn,Jun,-92.61095022
Above Harvell Dam,1342,as_juv,Jun,-22.64312169
Above Harvell Dam,1342,l_rad,Jun,-45.26298428
Above Harvell Dam,1342,e_comp,Jun,-39.6959904
Above Harvell Dam,1342,rh_spawn,Jun,-7.555508993
Above Harvell Dam,1342,smb_juv,Jul,-26.2708934
Above Harvell Dam,1342,smb_adult,Jul,-32.96152944
Above Harvell Dam,1342,smb_spawn,Jul,-1.47837781
Above Harvell Dam,1342,rbs_spawn,Jul,-2.069873452
Above Harvell Dam,1342,nh_adult,Jul,-26.39843897
Above Harvell Dam,1342,nh_spawn,Jul,-20.97161058
Above Harvell Dam,1342,bd_high_grad,Jul,-16.51566523
Above Harvell Dam,1342,bd_low_grad,Jul,1.266554046
Above Harvell Dam,1342,shallow_slow,Jul,12.00602267
Above Harvell Dam,1342,shallow_fast,Jul,-28.36127288
Above Harvell Dam,1342,deep_slow,Jul,-8.939928239
Above Harvell Dam,1342,deep_fast,Jul,-36.24853291
Above Harvell Dam,1342,as_spawn,Jul,-93.66033496
Above Harvell Dam,1342,as_juv,Jul,-28.45342935
Above Harvell Dam,1342,l_rad,Jul,-44.83018806
Above Harvell Dam,1342,e_comp,Jul,-36.8364704
Above Harvell Dam,1342,rh_spawn,Jul,-11.71969734
Above Harvell Dam,1342,smb_juv,Aug,-30.78627657
Above Harvell Dam,1342,smb_adult,Aug,-39.77526159
Above Harvell Dam,1342,smb_spawn,Aug,-2.517301334
Above Harvell Dam,1342,rbs_spawn,Aug,-1.628678122
Above Harvell Dam,1342,nh_adult,Aug,-25.59740024
Above Harvell Dam,1342,nh_spawn,Aug,-19.39980379
Above Harvell Dam,1342,bd_high_grad,Aug,-12.54577691
Above Harvell Dam,1342,bd_low_grad,Aug,7.862733905
Above Harvell Dam,1342,shallow_slow,Aug,32.15053989
Above Harvell Dam,1342,shallow_fast,Aug,-36.28691265
Above Harvell Dam,1342,deep_slow,Aug,-9.747056921
Above Harvell Dam,1342,deep_fast,Aug,-38.09076805
Above Harvell Dam,1342,as_spawn,Aug,-97.66951514
Above Harvell Dam,1342,as_juv,Aug,-32.0259387
Above Harvell Dam,1342,l_rad,Aug,-44.3513078
Above Harvell Dam,1342,e_comp,Aug,-36.48102297
Above Harvell Dam,1342,rh_spawn,Aug,-16.09818206
Above Harvell Dam,1342,smb_juv,Sep,-30.43929987
Above Harvell Dam,1342,smb_adult,Sep,-39.31383241
Above Harvell Dam,1342,smb_spawn,Sep,-2.255587442
Above Harvell Dam,1342,rbs_spawn,Sep,-1.634142199
Above Harvell Dam,1342,nh_adult,Sep,-25.60478561
Above Harvell Dam,1342,nh_spawn,Sep,-19.6124021
Above Harvell Dam,1342,bd_high_grad,Sep,-13.46935123
Above Harvell Dam,1342,bd_low_grad,Sep,6.522920043
Above Harvell Dam,1342,shallow_slow,Sep,25.31646302
Above Harvell Dam,1342,shallow_fast,Sep,-35.00693236
Above Harvell Dam,1342,deep_slow,Sep,-9.118909037
Above Harvell Dam,1342,deep_fast,Sep,-37.88138515
Above Harvell Dam,1342,as_spawn,Sep,-97.33473377
Above Harvell Dam,1342,as_juv,Sep,-31.93645361
Above Harvell Dam,1342,l_rad,Sep,-44.36170997
Above Harvell Dam,1342,e_comp,Sep,-36.53118545
Above Harvell Dam,1342,rh_spawn,Sep,-15.55143801
Above Harvell Dam,1342,smb_juv,Oct,-31.48602799
Above Harvell Dam,1342,smb_adult,Oct,-40.73151
Above Harvell Dam,1342,smb_spawn,Oct,-3.006623588
Above Harvell Dam,1342,rbs_spawn,Oct,-1.618454845
Above Harvell Dam,1342,nh_adult,Oct,-25.47875564
Above Harvell Dam,1342,nh_spawn,Oct,-19.87446163
Above Harvell Dam,1342,bd_high_grad,Oct,-10.75118959
Above Harvell Dam,1342,bd_low_grad,Oct,10.34862747
Above Harvell Dam,1342,shallow_slow,Oct,29.41736067
Above Harvell Dam,1342,shallow_fast,Oct,-38.88203426
Above Harvell Dam,1342,deep_slow,Oct,-9.743789393
Above Harvell Dam,1342,deep_fast,Oct,-38.52370316
Above Harvell Dam,1342,as_spawn,Oct,-96.64055842
Above Harvell Dam,1342,as_juv,Oct,-32.19169969
