ifim_site_name,ifim_da_sqmi,metric,flow,pctchg
Above Harvell Dam,1342,smb_juv,MAF,-31.14431615
Above Harvell Dam,1342,smb_adult,MAF,-37.27140824
Above Harvell Dam,1342,smb_spawn,MAF,-1.93111572
Above Harvell Dam,1342,rbs_spawn,MAF,-3.238925218
Above Harvell Dam,1342,nh_adult,MAF,-35.76986661
Above Harvell Dam,1342,nh_spawn,MAF,-31.98452822
Above Harvell Dam,1342,bd_high_grad,MAF,-19.42011718
Above Harvell Dam,1342,bd_low_grad,MAF,3.439074669
Above Harvell Dam,1342,shallow_slow,MAF,7.59184296
Above Harvell Dam,1342,shallow_fast,MAF,-30.90162782
Above Harvell Dam,1342,deep_slow,MAF,-11.60646605
Above Harvell Dam,1342,deep_fast,MAF,-45.42159447
Above Harvell Dam,1342,as_spawn,MAF,-97.3540698
Above Harvell Dam,1342,as_juv,MAF,-34.49956251
Above Harvell Dam,1342,l_rad,MAF,-55.44869869
Above Harvell Dam,1342,e_comp,MAF,-47.68729999
Above Harvell Dam,1342,rh_spawn,MAF,-13.88845108
Above Harvell Dam,1342,smb_juv,Jan,-12.05450713
Above Harvell Dam,1342,smb_adult,Jan,-1.958604957
Above Harvell Dam,1342,smb_spawn,Jan,58.90639511
Above Harvell Dam,1342,rbs_spawn,Jan,34.10771024
Above Harvell Dam,1342,nh_adult,Jan,-48.50368713
Above Harvell Dam,1342,nh_spawn,Jan,-37.91063005
Above Harvell Dam,1342,bd_high_grad,Jan,-21.76609826
Above Harvell Dam,1342,bd_low_grad,Jan,13.06288923
Above Harvell Dam,1342,shallow_slow,Jan,15.1965836
Above Harvell Dam,1342,shallow_fast,Jan,-37.87745722
Above Harvell Dam,1342,deep_slow,Jan,-8.614224446
Above Harvell Dam,1342,deep_fast,Jan,-26.33925298
Above Harvell Dam,1342,as_spawn,Jan,-89.02966534
Above Harvell Dam,1342,as_juv,Jan,-5.507658879
Above Harvell Dam,1342,l_rad,Jan,-66.30960784
Above Harvell Dam,1342,e_comp,Jan,-52.72833803
Above Harvell Dam,1342,rh_spawn,Jan,-4.77390425
Above Harvell Dam,1342,smb_juv,Feb,-9.753969662
Above Harvell Dam,1342,smb_adult,Feb,1.265214089
Above Harvell Dam,1342,smb_spawn,Feb,77.73991408
Above Harvell Dam,1342,rbs_spawn,Feb,48.74013479
Above Harvell Dam,1342,nh_adult,Feb,-48.84624322
Above Harvell Dam,1342,nh_spawn,Feb,-36.17620581
Above Harvell Dam,1342,bd_high_grad,Feb,-14.2842616
Above Harvell Dam,1342,bd_low_grad,Feb,26.71814613
Above Harvell Dam,1342,shallow_slow,Feb,25.54400272
Above Harvell Dam,1342,shallow_fast,Feb,-11.58024133
Above Harvell Dam,1342,deep_slow,Feb,-6.537650412
Above Harvell Dam,1342,deep_fast,Feb,-18.27168057
Above Harvell Dam,1342,as_spawn,Feb,-80.81542138
Above Harvell Dam,1342,as_juv,Feb,-3.795774456
Above Harvell Dam,1342,l_rad,Feb,-65.38694249
Above Harvell Dam,1342,e_comp,Feb,-49.45388629
Above Harvell Dam,1342,rh_spawn,Feb,-3.557209805
Above Harvell Dam,1342,smb_juv,Mar,-8.86415767
Above Harvell Dam,1342,smb_adult,Mar,2.616445589
Above Harvell Dam,1342,smb_spawn,Mar,87.48026128
Above Harvell Dam,1342,rbs_spawn,Mar,54.90933626
Above Harvell Dam,1342,nh_adult,Mar,-48.7636275
Above Harvell Dam,1342,nh_spawn,Mar,-36.90871367
Above Harvell Dam,1342,bd_high_grad,Mar,-3.008276065
Above Harvell Dam,1342,bd_low_grad,Mar,37.28516085
Above Harvell Dam,1342,shallow_slow,Mar,42.25549565
Above Harvell Dam,1342,shallow_fast,Mar,-5.834551939
Above Harvell Dam,1342,deep_slow,Mar,-5.59433998
Above Harvell Dam,1342,deep_fast,Mar,-15.11301231
Above Harvell Dam,1342,as_spawn,Mar,-77.3090582
Above Harvell Dam,1342,as_juv,Mar,-3.120657188
Above Harvell Dam,1342,l_rad,Mar,-64.19857423
Above Harvell Dam,1342,e_comp,Mar,-46.87928107
Above Harvell Dam,1342,rh_spawn,Mar,-3.070790415
Above Harvell Dam,1342,smb_juv,Apr,-9.284047457
Above Harvell Dam,1342,smb_adult,Apr,1.978620999
Above Harvell Dam,1342,smb_spawn,Apr,82.77720873
Above Harvell Dam,1342,rbs_spawn,Apr,51.95257016
Above Harvell Dam,1342,nh_adult,Apr,-48.80522916
Above Harvell Dam,1342,nh_spawn,Apr,-36.55372471
Above Harvell Dam,1342,bd_high_grad,Apr,-11.11263204
Above Harvell Dam,1342,bd_low_grad,Apr,32.14109149
Above Harvell Dam,1342,shallow_slow,Apr,32.44344456
Above Harvell Dam,1342,shallow_fast,Apr,-8.692625532
Above Harvell Dam,1342,deep_slow,Apr,-6.045709412
Above Harvell Dam,1342,deep_fast,Apr,-16.589715
